"* Required Fields","* Задължителни полета"
"New Group","Нова група"
"New Password","Нова Парола"
"New account","Нов профил"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","Информационен бюлетин"
"Newsletter Finish","Край на информационен бюлетин"
"Newsletter Information","Информация за бюлетина"
"Newsletter Received","Информационен бюлетин Получени"
"Newsletter Start","Начало на информационен бюлетин"
"Newsletter Subscription","Абонамент за информационен бюлетин"
"Newsletters","Информационни бюлетини"
"No Items Found","Няма намерени елементи"
"No Newsletter Found","Не е намерена бюлетин"
"No item specified.","No item specified."
"No product collections found","Никой продукт колекции намерени"
"Not Sent","Неизпратен"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Офлайн"
"Online","Онлайн"
"Online Customers","Онлайн Клиенти"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Поръчка #"
"Order #%s (%s)","Поръчка #%s (%s)"
"Order List...","Поръчай Списък ..."
"Order Total","Поръчай Общо"
"Orders","Поръчки"
"PDF","PDF"
"Password","Парола"
"Password Management","Парола Управление"
"Password Options","Парола Опции"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Парола, трябва да имат най-малко 6 символа. Водещи или плаващи пространства ще бъдат игнорирани."
"Paused","Паузирано"
"Payment Method","Начин на плащане"
"Pending","Висящ"
"Per Website","По Website"
"Personal Information","Лична информация"
"Please enter your email below and we'll send you a new password.","Моля, въведете вашия Email по-долу и ние ще Ви изпратим нова парола."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Моля въведете своя Email."
"Please make sure your passwords match.","Моля, уверете се, че вашите пароли съвпадат."
"Please select","Моля изберете"
"Please select region, state or province","Моля изберете регион, щат или провинция"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Цена"
"Primary Billing Address","Първичен Разплащателен Адрес"
"Primary Shipping Address","Основен адрес за доставка"
"Problem saving the collection, aborting. Error: %s","Проблем при записването на колекцията. Грешка: %s"
"Product","Продукт"
"Product ID","Продукт ID"
"Product Name","Наименование"
"Product Reviews","Продукт Ревюта"
"Product Tags","Продукт Tags"
"Product name","Наименование на продукта"
"Purchase On","Покупка На"
"Purchased at","Поръчан на"
"Qty","Количество"
"Recent Orders","Последни поръчки"
"Records for ""","Документацията за """
"Refunded","Върнат"
"Registered Customers","Регистриран Клиенти"
"Remove","Премахни"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Възстановете паролата си тук"
"SKU","каталожен номер (SKU)"
"Sales Statistics","Продажби Статистика"
"Save","Запази"
"Save Address","Запази Адрес"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Запази клиент"
"Save Customer Group","Запази клиентска група"
"Save Password","Запази паролата"
"Saved ","Записано "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Изпрати автоматично генерирана парола"
"Send confirmation link","Send confirmation link"
"Send welcome email","Изпрати поздравителен Email"
"Sending","Изпраща се..."
"Sent","Изпратено"
"Session Start Time","Първа сесия Време"
"Set as Default Billing Address","Настройка по подразбиране Разплащателния Адрес"
"Set as Default Shipping Address","Настройка по подразбиране Доставка Адрес"
"Share Customer Accounts","Споделете потребителски акаунти"
"Ship to First name","Корабно първо име"
"Ship to Last name","Кораба да Фамилия"
"Shipped to First Name","Изпращани до Име"
"Shipped to Last Name","Изпращани до Фамилия"
"Shipped to Name","Изпращани до Име"
"Shipping Information","Информация за доставка"
"Shipping Method","Начин на доставка"
"Shopping Cart","Кошница"
"Shopping Cart - %d item(s)","Количка за пазаруване -%d артикула(и)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Запишете се за бюлетин"
"Sign up for our newsletter","Запишете се за нашия бюлетин"
"Skip import row, required field ""%s"" not defined","Прескачане вносни ред, задължително поле ""%s"" не е определено"
"Skip import row, website ""%s"" field not exists","Прескачане вносни ред, уебсайт ""%s"" поле не съществува"
"State/Province","Щат / Провинция"
"Status","Състояние"
"Store","Магазин"
"Store View","Изглед на магазин"
"Street Address","Адрес"
"Street Address ","Street Address "
"Subject","Предмет"
"Submit","Предоставям"
"Subscribe","Абонамент"
"Subscribe to newsletter","Абонирайте се за бюлетин"
"Subscribed to Newsletter?","Записан за бюлетин?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Tag Име"
"Tax Class","Данъчен клас"
"Tax class","Данъчен клас"
"Tax/VAT number","Tax/VAT number"
"Telephone","Телефон"
"Text","Текст"
"Text One Line","Текст един ред"
"Thank you for registering with %s","Благодарим Ви, че се регистрирате с %s"
"The address does not belong to this customer","Адресът, не принадлежи на този клиент"
"The address was successfully deleted","Адресът е успешно изтрити"
"The address was successfully saved","Адресът е успешно записани"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Няма артикули в списъка с желания в момента"
"There are no items in customer's shopping cart at the moment","Няма артикули в потребителската кошница в момента"
"There was an error while deleting the address","Грешка при изтриване на адрес"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","Този клиент няма записани адреси."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Този Email адрес не е намерен в нашите архиви"
"This is My Primary %s Address","Това е моят основен адрес %s"
"To Cart","В количката"
"Total","Общо"
"Type","Тип"
"Unknown","Неизвестно"
"Unsubscribe from newsletter","Отписване от информационния бюлетин"
"Update","Актуализирам"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Използвай като моят основен Адрес %s"
"Use as my default billing address","Използвай като мой основен разплащателен адрес"
"Use as my default shipping address","Използвай като адрес по подразбиране за доставка"
"User description","Описание на потребител"
"View","Изглед"
"View Order","Разгледай поръчката"
"View Order List","Преглед ред Списък"
"Visible In","Видимо в"
"Visitor","Посетител"
"Visitors Only","Само за посетители"
"Website","Уебсайт"
"Welcome Email","Welcome Email"
"Wishlist","Списък с желания"
"Wishlist - %d item(s)","Списък с желания - %d артикул(а)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Грешен ID на регион от избраната страна"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","В момента не сте абониран за нито един бюлетин."
"You are currently not subscribed to our newsletter","В момента не сте абониран за нашия бюлетин."
"You are currently subscribed to 'General Subscription'.","В момента не сте се абонирали за ""Общи абонамент""."
"You are currently subscribed to our newsletter","В момента сте абонирани за нашия бюлетин"
"You are currently subscribed to our newsletter.","В момента сте абонирани за нашия бюлетин"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Излязохте успешно от системата и ще бъдете пренасочени към нашата начална страница след 5 секунди."
"You have no additional address entries in your address book.","Нямате други адреси в адресната книга."
"You have no additional entries in your address book.","Нямате допълнителни записи във вашата адресна книга."
"You have no default billing address in your address book.","Нямате разплащателен адрес по подразбиране в адресната книга."
"You have no default shipping address in your address book.","Нямате адрес за доставка по подразбиране в адресната книга."
"You have no primary entries in your address book.","Нямате основни записи в адресната книга."
"You have not set a primary billing address.","Не сте задали основен платежен адрес."
"You have not set a primary shipping address.","Не сте задали първична доставка."
"You have placed no orders yet.","Нямате поръчки все още."
"You have placed no products yet.","Нямате продукти все още."
"You're now Logged Out","Излязохте от системата."
"Your account balance is: %s","Вашата сметка е: %s"
"ZIP","Пощенски код"
"ZIP/Post Code","ZIP / пощенски код"
"ZIP/Postal Code","Пощенски Код"
"Zip/Postal Code","Пощенски Код"
"n/a","N / A"
"or","или"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
