"# of Use","# за ползване"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s продукт(а)"
"Product with this combination of attributes already associated to configurable.","Продукт с тази комбинация от атрибути вече са асоциирани към конфигурируемите."
"Products","Продукти"
"Products Information","Продукти Информация"
"Products Reviews","Отзиви за продукти"
"Products Sitemap","Карта на продуктите"
"Products only","Продукти само"
"Products per Page on Grid default value","Продукти на страница в решетка - стойност по подразбиране"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Продукти на страница в списък – стойност по подразбиране"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","Свойства"
"Qty","Количество"
"Qty Uses Decimals","Количество използва десетични знаци"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Quick Create","Бързо Създаване"
"Quick Overview","Бърз преглед"
"Quick simple product creation","Бързо създаване на прост продукт"
"Records for ""","Записи за “"
"Redirect","Пренасочване"
"Redirect URL","URL Пренасочване"
"Regular Price:","Редовен Цена:"
"Related Products","Свързани продукти"
"Remove","Премахни"
"Remove Product","Премахни Продукт"
"Remove Product From Websites","Премахни продукта от Уебсайтовете"
"Remove This Item","Премахни този елемент"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Required","Задължително"
"Reset","Нулирай"
"Results","Резултати"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Ревюто беше изтрито успешно"
"Review was saved successfully","Ревюто е записано успешно"
"Review was successfully saved","Ревюто е записано успешно"
"Reviews","Ревюта"
"Roll Over for preview","Мини отгоре за преглед"
"Root","Корен"
"SKU","Кат.№"
"Save","Запази"
"Save And Continue Edit","Запази и Продължи Редактирането"
"Save Attribute","Запази Атрибут"
"Save Attribute Set","Запази Атрибут"
"Save Category","Запази Категория"
"Save Search","Запази търсенето"
"Saved ","Записано "
"Scope","Обхват"
"Search","Търси"
"Search Engine Optimizations","СЕО оптимизации"
"Search Information","Търси информация"
"Search Query","Опашка на търсенето"
"Search Term was successfully saved","Търсене Условие беше успешно записано"
"Search Term with such search query already exist.","Търсено условие с такава опашка вече съществува"
"Search was successfully deleted","Търсеното условие беше успешно изтрито"
"Searchable","Възможно за търсене"
"Select Configurable Attributes ","Избери възможни за конфигурация атрибути "
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Избрани видове продукти"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Изпрати брой"
"Set Ascending Direction","Задай Възходяща Посока"
"Set Descending Direction","Задай Низходяща Посока"
"Set Name","Задай име"
"Set Root Category For Store","Задай базовата категория за Магазин"
"Set root category for this store in the <a href=""%s"">configuration</a>","Задай базовата категория за този магазин в <a href=""%s""> конфигурация </ A>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Настройки"
"Shop by","Пазарувай чрез"
"Shopping Options","Опции за пазаруване"
"Show","Покажи"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","Прост продукт"
"Site Map","Карта на сайта"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Прескочи реда за импортиране, невалидна стойност ""%s"" за областта ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Прескочи реда за импортиране, задължителното поле ""%s"" за нов клиент не е определено"
"Skip import row, required field ""%s"" for new products not defined","Прескочи реда за импортиране, задължителното поле ""%s"" за нови продукти, не е определено"
"Skip import row, required field ""%s"" not defined","Прескочи реда за импортиране, задължителното поле ""%s"" не е определено"
"Skip import row, store ""%s"" field not exists","Прескочи реда за импортиране, полето магазин ""%s"" не съществува"
"Sort Order","Сортирай поръчката"
"Sort by","Сортирай по"
"Source Model","Модел източник"
"Special Price:","Специална Цена:"
"Starting at:","Започва на:"
"Static","Статични"
"Static block and products","Статичен блок и продукти"
"Static block only","Статичен блок само"
"Status","Състояние"
"Stock Availability","Наличност"
"Store","Магазин"
"Store View","Магазин Преглед"
"Stretch","Разтегли"
"Subscribe to Feed","Абонирайте се за емисията"
"Subscribe to RSS Feed","Абонирайте се за RSS емисията"
"Super product attributes configuration","Конфигурация на Супер продукт атрибути"
"Synonym For","Синоним на"
"Synonym for","Синоним на"
"System","Система"
"System Properties","Свойства на системата"
"Tag Name","Име на тага"
"Tax","Tax"
"Text","Текст"
"Text Area","Текстова Площ"
"Text Field","Текстово поле"
"There are no %s available.","Няма  %s на разположение."
"There are no customers for this alert","Няма клиенти за това предупреждение"
"There are no products matching the selection.","Не са открити продукти."
"There was an error while adding products to websites","Възникна грешка при добавянето на продуктите за уебсайтове"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","Възникна грешка при премахване на продукти от сайтове"
"There was an error while updating product(s) attributes","Възникна грешка при актуализирането продуктов(и) атрибути"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","Този атрибут вече не съществува"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Тази група съдържа система атрибути. Моля преместете системните атрибути в друга група и опитайте отново."
"This is a required option","This is a required option"
"This search no longer exists","Това търсене вече не съществува"
"Tier Pricing","Група Ценообразуване"
"Tile","Плочки"
"Time format","Time format"
"Title","Title"
"Top/Left","Начало / ляво"
"Top/Right","Начало / Право"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","Общо %d запис(а), бяха успешно изтрити"
"Total of %d record(s) were successfully updated","Общо %d запис(а), бяха успешно актуализирани"
"Type","Тип"
"Unable to complete request. Please try again later.","Невъзможно е да попълните молба. Моля опитайте отново по-късно."
"Unable to find a search term to delete","Невъзможно е да се намери търсен период за изтриване"
"Unable to find an attribute to delete","Невъзможно е да се намери атрибут за да изтриване"
"Unable to get product id.","Не може да се получи продукт ID."
"Unassigned Attributes","Неприсвоени атрибути"
"Unique Value","Уникална Стойност"
"Unique Value (not shared with other products)","Уникална стойност (не се споделя с други продукти)"
"Unknown attribute: %s","Неизвестен атрибут: %s"
"Up-sells","Топ-продажби"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","Актуализирай Атрибути"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","Url"
"Url Rewrite Management","Url rewrite Мениджмънт"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Използвай Конфиг Настройки"
"Use Default Value","Използвай стойност по подразбиране"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Използвай в слойна навигация"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Използвай в слойна навигация <br/> (може да бъде използвано само с каталог тип 'падащо меню')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Използва, за да се създаде конфигурируем продукт"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Използвай пътеката на категориите за URL адреси на продукта"
"Use in advanced search","Използвай по-разширено търсене"
"Use in quick search","Използвай в бързо търсене"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Задължителни стойности"
"Varchar","Varchar"
"View as","Виж като"
"Virtual Product","Virtual Product"
"Visibility","Видимост"
"Visible","Видимо"
"Visible on Catalog Pages on Front-end","Видимо в каталожните страници във frontend"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Воден знак"
"Watermark Default Size","Размер по подразбиране на воден знак"
"Watermark Position","Позиция на водния знак"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Уебсайт"
"Websites","Уебсайтове"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Да"
"Yes/No","Да/Не"
"You cannot delete this attribute","Вие не можете да изтриете този атрибут"
"You cannot edit this attribute","Вие не можете да редактирате този атрибут"
"You cannot remove system attribute from this set.","Вие не можете да премахнете системния атрибут от този комплект."
"You cannot update this attribute","Вие не можете да обновите този атрибут"
"You have no items to compare.","Вие нямате продукти за сравнение."
"You may also be interested in the following product(s)","Може да се интересувате и от следните продукт(и)"
"Zoom In","Увеличаване"
"Zoom Out","Намаляване"
"[GLOBAL]","[Глобално]"
"and","и"
"and above","и отгоре"
"cache refresh needed","cache refresh needed"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","Пр. http://domain.com"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","на страница"
"products","products"
"px.","px."
"save","save"
"select all","Избери всички"
"unselect all","премахни всички"
"x","x"
"Description","Description"
"Short Description","Кратко описание"
"Tax Class","Tax Class"
