"Website","Webbplats"
"Credit Memo Comments","Kommentar för kreditfaktura"
"Order Comment","Kommentar för beställning"
"Comment","Kommentar"
"Comma-separated.","Kommaseparerad."
"Click to change shipping method","Klicka för att ändra leveranssätt"
"Cannot do shipment for order.","Kan inte skapa leverans för ordern."
"Cannot do invoice for order.","Kan inte skapa faktura på order."
"Cannot create an empty shipment.","Kan inte skapa en tom leverans."
"Cannot register existing shipment","Kan inte registrera existerande leverans"
"Cannot register existing invoice","Kan inte registrera existerade faktura"
"Cannot register an existing credit memo.","Kan inte registrera en existerande kreditfaktura."
"Cannot add order history.","Kan inte lägga till orderhistorik."
"Cannot determine the field name.","Kan inte avgöra fältets namn."
"Purchased From (Store)","Köptes från (butik)"
"Purchased From","Köptes från"
"Purchased Item","Köpt artikel"
"Purchased On","Köpdatum"
"SOLD TO:","Köpare"
"Buy %s for price %s","Köp %s till priset av %s"
"Adjustment Fee","Justeringsavgift"
"Adjustment Refund","justering av återbetalnig"
"Yes","Ja"
"Pending Payment","Inväntar betalning"
"Not Notified","Inte meddelad"
"Not Initialized","Inte initierad"
"Initial period payment","Inledande period betalning"
"Revenue","Inkomster"
"Incl. Tax","Inkl moms"
"No shipping information available","Ingen leveransinformation tillgänglig"
"No information available.","Ingen information tillgänligt."
"No items","Inga produkter"
"No Items","Inga produkter"
"No order(s) were released from holding status.","Inga ordrar har släppts från parkerings statusen."
"No order(s) were put on hold.","Inga ordrar har parkerats."
"No detail for number ""%s""","Inga detaljer för nummer ""%s"""
"No Payment Methods","Inga betalningssätt"
"No ordered items","Inga beställda produkter"
"No Items To Refund","Inga artiklar att återbetala"
"Account Information","Information om kund"
"Shipping &amp; Handling Information","Information om frakt"
"Payment Information","Information om betalning"
"Order Information","Information om beställning"
"Information","Information"
"ID #","ID #"
"ID","ID"
"Order History","Historik för beställning"
"Manage","Hantera"
"Retrieve orders info","Hämta orderinformationen"
"Retrieve list of orders by filters","Hämta lista med ordrar enligt filter"
"Retrieve list of invoices by filters","Hämta lista med fakturor efter filtrering."
"Get shipping methods and rates","Hämta leveranssätt och -priser"
"Retrieve shipment info","Hämta leveransinformation"
"Retrieve shipment information","Hämta leveransinformation"
"Retrieve list of shipments by filters","Hämta leverans lista efter filter "
"Retrieve invoice info","Hämta fakturainformation"
"Retrieve invoice information","Hämta fakturainformation"
"Retrieve order information","Hämta beställningsinformation"
"Approved the payment online.","Godkänn betalningen online."
"General Information","Generel information"
"Street Address","Gatuadress"
"Guest","Gäst"
"PDF Packingslips","Fraktsedlar i PDF-format"
"Shipping Amount","Fraktkostnad"
"Shipping &amp; Handling","Fraktavgift"
"Shipping and Tracking Information","Frakt- och spårningsinformation"
"Shipment","Frakt"
"Shipping","Frakt"
"From:","Från:"
"From","Från"
"Move to Shopping Cart","Flytta till varukorg"
"Move to Wishlist","Flytta till önskelista"
"Invalid carrier specified.","Felaktig transportör vald."
"Wrong state: ""%s"".","Fel state: ""%s""."
"Error to Show in Shopping Cart","Fel att visa i varukorg"
"PDF Invoices","Fakturor i PDF-format"
"Invoices","Fakturor"
"The billing agreement ""%s"" has been canceled.","Faktureringsavtalet ""%s"" har avbrutits."
"The billing agreement ""%s"" has been created.","Faktureringsavtalen ""%s"" har skapats."
"Billing Agreement #%s","Faktureringsavtal #%s"
"Billing Agreement # %s","Faktureringsavtal # %s"
"Billing Agreement","Faktureringsavtal"
"Billing","Fakturering"
"Qty Invoiced","Fakturerat antal"
"Invoiced","Fakturerad"
"Invoice and Ship","Fakturera och leverera"
"Invoice","Fakturera"
"Invoice #%s","Fakturanr. %s"
"Invoice # ","Fakturanr."
"Invoice #","Fakturanr."
"Invoice cannot be voided.","Fakturan kan inte annulleras."
"the invoice email is not sent","fakturan har inte mailats"
"the invoice email was sent","fakturamailet har skickats"
"Invoice Comments","Fakturakommentarer"
"Invoice Date","Fakturadatum"
"Billing Address","Fakturaadress"
"Invoice and Packing Slip Design","Faktura- och följesedels design"
"Bill to Name","Faktura till"
"Invoice cannot be captured.","Faktura kan inte fångas"
"Invoice cannot be canceled.","Faktura kan inte abrytas."
"Invoice void problem","Faktura annulleringsproblem"
"Invoice #%1$s | %2$s | %4$s (%3$s)","Faktura #%1$s | %2$s | %4$s (%3$s)"
"Captured amount of %s online.","Fångade beloppet på %s online."
"Fetch","Fånga"
"Get Update","Få uppdatering"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Förvald logotyp, kommer att användas i PDF och HTML dokument.<br />(jpeg, tiff, png)"
"Number","Försändelsens id"
"Shipment #","Försändelsenr."
"Sales Section","Försäljningssektion"
"Total Ordered Report","Försäljningsrapport"
"Sales Discount","Försäljningsrabatt"
"Sales Tax","Försäljningsmoms"
"Sales Shipping","Försäljningsleverans"
"Sales Items","Försäljningsartiklar"
"Sales Emails Section","Försäljnings e-post sektion"
"Sales Emails","Försäljning e-post"
"Sales","Försäljning"
"First Name","Förnamn"
"Company","Företag"
"Parent transaction ID must have a transaction ID.","Förälder transaktions ID måste ha ett transaktions ID."
"Parent Transaction ID","Förälder transaktion ID"
"Packingslip # ","Följesedel"
"Excl. Tax","Exkl moms"
"Excel","Excel"
"Order saving error: %s","Ett fel uppstod när beställningen skulle sparas: %s"
"Last Name","Efternamn"
"Shipment Comment Email Template","E-postmall för leveranskommentar"
"Shipment Email Template","E-postmall för leverans"
"Credit Memo Email Template for Guest","E-postmall för kreditfaktura för gäst"
"Credit Memo Email Template","E-postmall för kreditfaktura"
"Credit Memo Comment Email Template for Guest","E-postmall för kommentar till kreditfaktura för gäst"
"Invoice Comment Email Template for Guest","E-postmall för kommentar till faktura till gäst"
"Shipment Comment Email Template for Guest","E-postmall för kommentar till leverans till gäst"
"Order Comment Email Template for Guest","E-postmall för kommentar till order till gäst"
"Credit Memo Comment Email Template","E-postmall för kommentar för kreditfaktura"
"Order Comment Email Template","E-postmall för kommentar för order"
"Invoice Comment Email Template","E-postmall för fakturakommentar"
"Invoice Email Template for Guest","E-postmall för faktura till gäst"
"Invoice Email Template","E-postmall för faktura"
"Shipment Email Template for Guest","E-postmall för leverans till gäst"
"Invoice Comment Email Sender","E-postavsändare för fakturakommentar"
"Credit Memo Email Sender","E-postavsändare av kreditfaktura"
"Credit Memo Comment Email Sender","E-postavsändare av kommentar för kreditfaktura"
"Order Comment Email Sender","E-postavsändare av kommentar för beställning"
"Invoice Email Sender","E-postavsändare av faktura"
"New Order Confirmation Email Sender","E-postanvändare för bekräftelse av ny beställning"
"Email Copy of Shipment","E-posta kopia av leverans"
"Email Copy of Credit Memo","E-posta kopia av kreditfakturas"
"Email Copy of Invoice","E-posta kopia av faktura"
"Email Order Confirmation","E-posta bekräftelse av beställning"
"Email","E-post"
"You have placed no orders.","Du har inte lagt några beställningar."
"Your credit card will be charged for","Ditt kreditkort kommer att belastas på"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you wish to proceed?","Detta kommer att skapa en offline återbetalning. För att skapa en online återbetalning, öppna en faktura och skapa kreditfakturan för den. Önskar du fortsätta?"
"Order Details","Detaljer för beställning"
"Failed to cancel the billing agreement.","Det gick inte att avbryta faktureringsavtalet."
"Not enough valid data to save the parent transaction ID.","Det finns inte nog med giltig information för att spara förälder transaktions ID:et."
"There is no need to deny this payment.","Det finns inget behov av att neka denna betalning."
"There is no need to approve this payment.","Det finns inget behov av att godkänna denna betalning."
"There is no update for the payment.","Det finns ingen uppdatering för betalningen."
"There are no billing agreements yet.","Det finns inga faktureringsavtal ännu."
"This profile state cannot be changed to ""%s"".","Denna profils tillstånd kan inte ändras till ""%s""."
"This order no longer exists.","Denna beställning finns inte längre."
"The requested Payment Method is not available.","Den efterfrågade betalningsmetoden är inte tillgänglig."
"Partial","Delvis"
"Subtotal:","Delsumma:"
"Subtotal after discount.","Delsumma efter rabatt."
"Subtotal","Delsumma"
"Billing Agreements","Debiteringsavtal"
"Capture Amount","Debitera summa"
"Capture Online","Debitera online"
"Capture Offline","Debitera offline"
"Not Capture","Debitera inte"
"Capture invoice","Debitera Faktura"
"Capture","Debitera"
"Order Date: %s","Datum för beställning: %s"
"Order Date: ","Datum för beställning:"
"Order Date","Datum för beställning"
"Date","Datum"
"CSV","CSV"
"Store Credit","Butikskredit"
"Carrier/Method","Bud/metod"
"Mixed","Blandad"
"Payment Method Name","Betalninsgmetodnamn"
"Payment update has been made.","Betalningsuppdatering har gjorts."
"Payment type","Betalningstyp"
"Payment Method:","Betalningssätt:"
"Payment Method","Betalningssätt"
"The payment has been denied.","Betalningen har nekats."
"The payment has been voided.","Betalningen har annullerats. "
"The payment has been accepted.","Betalningen har accepterats."
"Payment Failed","Betalning misslyckades"
"Payment Review","Betalning granskas"
"Paid Amount","Betald summa"
"Paid","Betald"
"Item ordered qty","Beställt antal produkter"
"Ordered","Beställt"
"Order #","Beställningsnr"
"Order # ","Beställningsnr"
"The order email has been sent.","Beställningsmailet har skickats."
"Order Date (%s)","Beställningsdatum (%s)"
"The order has not been cancelled.","Beställningen har makulerats."
"Orders","Beställningar"
"The order(s) cannot be canceled","Beställning(arna) kan inte avbrytas."
"Order #%s - %s","Beställning #%s - %s"
"Order # %s","Beställning #%s"
"Order #%s","Beställning #%s"
"Order # %s %s | %s","Beställning # %s %s | %s"
"Order View","Beställning"
"Order","Beställning"
"Items Ordered","Beställda produkter"
"Place Order Using Billing Agreements","Beställ genom att använda faktureringsavtal"
"Amount: %s.","Belopp: %s"
"Processing","Behandlas"
"Products Bestsellers Report","Bästsäljare produktrapport"
"Bestsellers","Bästsäljare"
"Recurring Profiles (beta)","Avtalsprofiler (beta)"
"Agreement Information","Avtalsinformation"
"Shipment Comment Email Sender","Avsändare av e-post för leveranskommentar"
"Shipment Email Sender","Avsändare av e-post för leverans"
"Cancel invoice","Avbryt faktura"
"Cancel order","Avbryt beställning"
"Cancel","Avbryt"
"Canceled","Avbruten"
"Authorized amount of %s.","Auktoriserad belopp på %s."
"Authorization","Auktorisation"
"Items","Artiklar"
"Sku","Artikelnummer"
"SKU","Artikelnummer"
"Apply Coupon Code","Använd kupongkod"
"Apply","Använd"
"Void","Anullerad"
"Number of Orders","Antal ordrar"
"Number of Invoiced Orders","Antal fakturerade ordrar"
"Quantity Ordered","Antal beställda"
"Qty Ordered","Antal beställda"
"Qty to Ship","Antal att leverera"
"Qty to Add","Antal att lägga till"
"Qty To Add","Antal att lägga till"
"Qty to Invoice","Antal att fakturera"
"Qty to Refund","Antal att återbetala"
"Number of Refunded Orders","Antal återbetalda ordrar"
"Amount","Antal"
"Qty","Antal"
"Custom Value","Anpassat värde"
"Custom Options","Anpassade val"
"Void invoice","Annullerat faktura"
"Voided authorization.","Annullerat auktorisation."
"Enabled","Aktiverad"
"Activate","Aktivera"
"Enable","Aktivera"
"Active","Aktiv"
"The address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract.","Adressens total model måste extenda Mage_Sales_Model_Quote_Address_Total_Abstract."
"Address","Adress"
"Accept or Deny Payment","Acceptera eller neka betalning"
"Accept Payment","Acceptera betalning"
"Are you sure? This order will be canceled and a new one will be created instead","Är du säker? Ordern kommer makuleras och en ny kommer istället att skapas."
"Are you sure?","Är du säker?"
"Are you sure you want to send Shipment email to customer?","Är du säker på att du vill skicka leveransmailet till kunden?"
"Are you sure you want to send Creditmemo email to customer?","Är du säker på att du vill skicka kreditfakturan med e-post till kunden?"
"Are you sure you want to send Invoice email to customer?","Är du säker på att du vill skicka fakturamailet till kunden?"
"Are you sure you want to send order email to customer?","Är du säker på att du vill skicka beställningsmail till kunden?"
"Are you sure you want to deny this payment?","Är du säker på att du vill neka denna betalning?"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Are you sure you want to cancel this order?","Är du säker på att du vill avboka denna beställning?"
"Are you sure you want to void the payment?","Är du säker på att du vill annullera betalningen?"
"Are you sure you want to accept this payment?","Är du säker att du vill acceptera denna betalning?"
"Change status, add comments","Ändra status, lägg till kommentar"
"Edit Gift Messsage","Ändra presentmeddelande"
"Edit Order #%s","Ändra beställningen #%s"
"Reorder","Ombeställ"
"Edit","Ändra"
"At least a payment ID must be set.","Åtminstone ett betalnings ID måste väljas."
"Actions","Åtgärder"
"Action","Åtgärd"
"Unhold order","Återta beställning"
"Unhold action is not available.","Återta åtgärden är inte tillgänglig."
"Unhold","Återta"
"Returned","Återsända"
"Recurring Profiles","Återkommande profiler"
"Recurring Profile # %s","Återkommande profil # %s"
"Items Refunded","Återköpta artiklar"
"Refunded","Återköpta"
