"Database host","Värd för databas"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Bocka endast för denna ruta om det inte är möjligt att automatiskt validera säkra URL:er, exempelvis om HTTP-verifiering krävs."
"Confirm Password","bekräfta lösenord"
"Password Confirmation","Bekräfta lösenord"
"Database user name","Användarnamn för databas"
"User Name","Användarnamn"
"Username","Användarnamn"
"Database user password","Användarlösenord för databas"
"User Password","Användarlösenord"
"Use Secure URLs (SSL)","Använd säkra URL:er (SSL)"
"Use Web Server (Apache) Rewrites","Använd omskrivningsregler (Apache mod_rewrite)"
"Connection","Anslutning"
"Web access options","Alternativ för webbåtkomst"
"Enable Charts","Aktivera diagram"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Aktivera detta alternativ för att använda omskrivningsregler, vilket förbättrar sökmotoroptimeringar"
"Enable this option only if you have SSL available.","Aktivera detta alternativ endast om du har tillgång till SSL."
"(ver. %s)","(ver. %s)"
"(Optional. Leave blank for no prefix)","(Frivilligt. Lämna tomt om inget prefix ska användas)"
"(Make sure you keep it in a safe place.)","(Försäkra dig om att den förvaras på en säker plats.)"
