"Sales Representative","Säljrepresentant"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Vänligen använd endast bokstäver (a-z), siffror (0-9) eller understreck i detta fält. Första tecknet bör vara en bokstav."
"This will be included before head closing tag in page HTML.","Detta kommer att inkluderas före </head> i HTML-koden."
"Merge CSS Files (beta)","Slå samman CSS filer (beta)"
"Sender Name","Användarens namn"
"Disable Modules Output","Inaktivera utdata för moduler"
"Please enter a number lower than 100.","Vänligen ange en siffra lägre än 100."
"Base URL","Bas-URL"
"Save Store View","Spara butiksvy"
"Delete Store","Ta bort butik"
"Anchor symbol (#) is not supported in url rewrite suffix","Ankarsymbol (#) stöds inte i URL omskrivning suffix"
"Yes","Ja"
"The template Name must not be empty.","Mallnamnet får inte vara tomt. "
"Polls","Frågeformulär"
"Two and more slashes together are not permitted in url rewrite suffix","Två och fler snedsträck tillsammans får inte finnas i URL:en"
"Name","Namn"
"Sort Order","Sortering"
"Empty identifier field name","Tomt fältnamn för identifierare"
"Please enter a valid credit card verification number.","Ange ett giltigt kreditkort kontrollnummer."
"Cancel","Avbryt"
"ID Path for Specified Store","ID-sökväg för angiven butik"
"Dashboard","Översikt"
"Add Store Code to Urls","Lägg till butikskod till URL:er"
"Validate HTTP_USER_AGENT","Validera HTTP_USER_AGENT"
"Store View Information","Information om butiksvy"
"General","Allmänt"
"Please select one of the options.","Vänligen välj ett av alternativen."
"Custom Admin URL","Anpassad admin URL"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Loggning från Mage::logException(). Filen finns i {{base_dir}}/var/log"
"Root Category","Rotkategori"
"Unknown scope ""%s"".","Okänt butiksvy ""%s""."
"Pagination Frame Skip","Sidnumrering frame skippa"
"Store Contact Telephone","Butikens kontakt telefonnr"
"Error in file: ""%s"" - %s","Fel i filen ""%s"" - %s"
"Please enter a valid zip code.","Vänligen ange ett giltigt postnummer."
"Cookie Lifetime","Livslängd för cookie"
"Invalid messages storage ""%s"" for layout messages initialization","Ogiltig meddelanden lagring ""%s"" för layout meddelanden initiering"
"Default Keywords","Förvalda nyckelord"
"Allowed IPs (comma separated)","Tillåtna IP-adresser (separerade med komma)"
"Variable Code must be unique.","Variabelkod måste vara unikt."
"Text length does not satisfy specified text range.","Textlängd inte uppfyller det angivna textintervallet."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Vänligen använd endast bokstäver (a-z) eller siffror (0-9) i detta fält. Mellanslag eller andra tecken är inte tillåtna."
"This website cannot be deleted.","Denna butiksvy kan ej tas bort"
"Match expressions in the same order as displayed in the configuration.","Match uttryck i samma ordning som visas som i konfigurationen."
"Secure","Säkert"
"Developer","Utvecklare"
"Please enter a number 0 or greater in this field.","Vänligen ange en siffra 0 eller större i detta fält."
"Base Media URL","Bas-URL för media"
"This category and its child categories only","Enbart denna kategori och dess underkategorier"
"Locale Options","Språkinställningar"
"Default Web URL","Förvald URL för webb"
"Anchor Text for Previous","Ankartext för föregående"
"Welcome Text","Välkomsttext"
"The store view has been deleted.","Butiken har tagits bort."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Vänligen ange datum enligt formatet: dd/mm/åååå. Exempelvis 17/03/2006 för den 17:e mars, 2006."
"Translate cache should be disabled for both frontend and admin inline translations.","Översättnings cache bör inaktiveras för både frontend och admin inline översättningar."
"Module ""%1$s"" cannot depend on ""%2$s"".","Modul ""%s1$s"" får inte bero på ""%2$s""."
"Session Validation Settings","Sessionsvalideringsinställningar"
"Edit Store","Ändra på butiken"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Ange en giltig XML-indentifiare. T.ex: something_1, block5, id-4."
"Cache Storage Management","Hantering av cacheminne"
"Host","Värd"
"Customer Support","Kundservice"
"Use Secure URLs in Frontend","Använd säkra URL:er i kunddelen"
"Store Name","Butiksnamn"
"Forgot Password Email Sender","Avsändare i e-post för glömda lösenord"
"Please select an option.","Vänligen välj ett alternativ."
"Credit card number does not match credit card type.","Kreditkortsnummer matchar inte typ av kreditkort."
"The website has been saved.","Websiten har tagits bort."
"Return-Path Email","Return-Path e-post"
"Unable to proceed. Please, try again","Det går inte att gå vidare. Vänligen försök igen senare."
"No","Nej"
"Start date cannot be greater than end date.","Startdatum kan inte vara efter slutdatumet."
"Enabled for Admin","Aktiverad för administratör"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vänligen ange ett giltigt telefonnummer, exempelvis 08-123 456."
"Code","Kod"
"Invalid block: %s","Ogiltigt block: %s"
"Default Description","Förvald beskrivning"
"Advanced","Avancerad"
"Values less than 60 are ignored. Note that changes will apply after logout.","Värden mindre än 60 ignoreras. Notera att ändringar kommer att appliceras efter utloggning."
"Template Path Hints","Ledtrådar för mallsökväg"
"Please use letters only (a-z) in this field.","Vänligen använd endast bokstäver (a-ö) i detta fält."
"This store view cannot be deleted.","Denna butiksvy kan ej tas bort"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Se till att bas URL:en slutar med '/' (slash), t.ex. http://www.minhemsida.com/"
"Add Block Names to Hints","Använd blocknamn till tips"
"Search Engines Optimization","Sökmotoroptimering"
"Design","Design"
"Base JavaScript URL","Bas-URL för JavaScript"
"Please make sure your passwords match.","Vänligen se till att dina lösenord överensstämmer."
"Create Store View","Skapa butiksvy"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Loggning från Mage::log(). Filen finns i {{base_dir}}/var/log"
"Default Store View","Förvald butiksvy"
"An error occurred while saving. Please review the error log.","Ett fel uppstod vid sparandet. Läs felloggen."
"Weekend Days","Veckodagar"
"The store does not exist","Butiken finns inte."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Vänligen använd endast bokstäver (a-ö), siffror (0-9) eller understreck i detta fält. Första tecknet bör vara en bokstav."
"Timezone","Tidszon"
"Miscellaneous Scripts","Diverse script"
"Session Cookie Management","Hantera sessionskakor"
"Duplicate Of Template Name","Duplicering av template namn"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vänligen ange en giltig URL, exempelvis http://www.example.com eller www.example.com"
"Block with name ""%s"" already exists","Block med namnet ""%s"" finns redan"
"Global","Globalt"
"Use SID on Frontend","Använd SID i frontend."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Vänligen ange 6 eller fler tecken. Eventuella mellanslag i början eller i slutet kommer att tas bort."
"Store Email Addresses","E-postadresser för butik"
"Flush Cache Storage","Töm cache"
"Your order cannot be completed at this time as there is no payment methods available for it.","Din order kan inte genomföras nu eftersom det inte finns några tillgängliga betalningsalternativ för det."
"The website does not exist.","Websiten finns inte."
"Resource is not set.","Resurs är inte inställt."
"Unable to delete store. Please, try again later.","Det gick inte att ta bort butiken, vänligen försök igen senare."
"New Store","Ny butik"
"Status","Status"
"Enable Prototype Deprecation Log","Aktivera Prototype Deprecation Log"
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Vänligen ange ett giltigt faxnr, t.ex: (123) 456-7890 eller 123-456-7890 "
"Card type does not match credit card number.","Korttyp matchar inte kreditkortsnummer."
"Invalid block name to set child %s: %s","Ogiltigt blocknamn för mängds barn %s: %s"
"Debug","Avlusa"
"Admin Base URL","Admin Bas URL"
"Validate REMOTE_ADDR","Validera REMOTE_ADDR"
"System","System"
"Please specify shipping method.","Vänligen ange fraktsätt."
"Custom Email 2","Anpassad e-post 2"
"This category only","Endast denna kategori"
"Logo Image Src","Src logobild"
"%s already exists.","%s finns redan."
"Delete Website","Ta bort webbplats"
"Back","Tillbaka"
"Store","Butik"
"Favicon Icon","Favicon bild"
"Please enter valid password.","Vänligen ange lösenord."
"Create Store","Skapa butik"
"JavaScript Settings","JavaScript inställningar"
"Default Robots","Förvald Robots"
"Allows customers to stay logged in when switching between different stores.","Tillåt kunder att förbli inloggade när de byter butiker."
"Website Name","Webbplatsens namn"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Butikskoden får bara innehålla bokstäver (a-z), siffror (0-9) eller understreck (_). Första tecknet måste vara en bokstav."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Vänligen använd endast bokstäver (a-ö) eller siffror (0-9) i detta fält. Mellanslag eller andra tecken är inte tillåtna."
"Title Suffix","Titel Suffix"
"Merge JavaScript Files","Slå samman Javascript filer"
"Sender Email","Avsändarens e-post"
"Display Demo Store Notice","Visa meddelande för demobutik "
"Please enter a valid $ amount. For example $100.00.","Vänligen ange ett giltigt belopp. Exempelvis 100."
"Before modifying the store view code please make sure that it is not used in index.php.","Innan du ändrar butikskoden, se till att det inte används i index.php."
"General Contact","Allmän kontakt"
"Save Store","Spara butik"
"Use Custom Admin URL","Använd anpassad admin URL"
"Please choose to register or to checkout as a guest","Vänligen registrera dig som kund eller checka ut som gäst"
"Are you sure?","Är du säker?"
"Your design change for the specified store intersects with another one, please specify another date range.","Din designförändring för den angivna butiken krockar med en annan, ange ett annat datumintervall."
"The value is not within the specified range.","Värdet är inte inom angivet intervall."
"Profiler","Profilerare"
"Two and more slashes together are not permitted in request path","Två och fler snedsträck tillsammans är inte tillåtna"
"New Design Change","Ny designändring"
"Skin (Images / CSS)","Tema (bilder / CSS)"
"Empty main table name","Tomt namn för huvudtabell"
"Please enter a valid date.","Vänligen ange ett giltigt datum."
"Cannot complete this operation from non-admin area.","Kan inte slutföra denna åtgärden från ickeadmindelen."
"Incorrect credit card expiration date.","Felaktigt kreditkorts utgångsdatum."
"Date/time format ""%s"" is not supported.","Datum/tid formatet ""%s"" stöds inte."
"Add Secret Key to URLs","Lägg till Secret Key till URL:er"
"Validate HTTP_VIA","Validera HTTP_VIA"
"Store view doesn't exist","Butiksvyn finns inte."
"Please specify either a category or a product, or both.","Vänligen ange antingen en kategori eller produkt, eller båda."
"Custom Email 1","Anpassad e-post 1"
"This category and its products only","Enbart denna kategori och dess produkter"
"Login is Case Sensitive","Inloggning är skiftlägeskänsligt"
"Delete Store View","Ta bort butiksvy"
"Url Options","URL-inställningar"
"Pagination Frame","Sidnumrering frame"
"Store Contact Information","Butiks kontaktuppgifter"
"Error: Passwords do not match","Fel: Lösenorden är ej samma"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Vänligen ange ett giltigt postnummer, exempelvis 111 52 eller 231 78."
"Cookie Path","Sökväg för cookie"
"Invalid transactional email code: ","Ogiltig transaktionell e-postkod:"
"Default No-route URL","Förvald URL när URL är fel"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Tillåtna filtyper: ICO, PNG, GIF, JPEG, APNG, SVG. Alla webbläsare stödjer inte alla dessa format!"
"Website Information","Information om webbplats"
"Templates","Mallar"
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Använd endast bokstäver (a-z eller A-Z) eller nummer (0-9) eller mellanslag och # bara i detta fält."
"This will be displayed just before body closing tag.","Detta kommer att synas precis före </body>."
"Maximum length exceeded.","Maxlängd överskriden."
"Select Date","Välj Datum"
"Disable Email Communications","Inaktivera e-postkommunikation"
"Please enter a number greater than 0 in this field.","Vänligen ange ett tal som är större än 0 i detta fält."
"Base Skin URL","Bas-URL för teman"
"Save","Spara"
"Delete","Ta bort"
"Anchor symbol (#) is not supported in request path","Ankarsymbol (#) stöds inte i begärt sökväg"
"Wrong number of arguments for %s","Fel antal argument till %s"
"The store has been saved.","Butiken har sparats."
"Please wait, loading...","Vänligen vänta, laddar..."
"Translations","Översättningar"
"Module ""%1$s"" requires module ""%2$s"".","Modul ""%1$s"" kräver modul ""%2$s"""
"Session Lifetime (seconds)","Sessions livstid (sekunder)"
"Edit Website","Ändra på webbplatsen"
"Please enter a valid credit card number.","Vänligen ange ett giltigt bankkortsnummer."
"Cache storage may contain another data. Are you sure that you want flush it?","Cachen kan innehålla mer data. Är du säker på att du vill tömma den?"
"How many links to display at once.","Hur många länkar som samtidigt ska visas."
"Date From","Datum från"
"Use Web Server Rewrites","Använd omskrivningar tillhandahållna av webbservern"
"Store View Name","Butiksvyns namn"
"Forgot Password Email Template","E-postmall för utskick av glömda lösenord"
"Please select one of the above options.","Vänligen välj ett av alternativen ovan."
"Current Package Name","Aktuellt paketnamn"
"Locale","Språk"
"Billing Address", "Ange din adress"
"Add to Cart", "Lägg i varukorgen"
"My Wishlist", "Min önskelista"
