" and "," şi "
"Address Type:","Tip adresă:"
"All","Tot"
"All Websites","Toate website-urile"
"All fields","Toate câmpurile"
"Archive file name:","Nume fişier arhivat:"
"Are you sure that you want to delete this template?","Sunteţi sigur că vreţi să ştergeţi acest template?"
"Are you sure that you want to strip tags?","Sunteţi sigur că vreţi să renunţaţi la tag-uri?"
"Attribute Set Name:","Nume set atribute:"
"Attributes","Atribute"
"Available Products","Produse disponibile"
"Big Image","Imagine mare"
"Billing Address","Adresă de facturare"
"Bundle Items","Produse Bundle"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Împachetarea cu preţ dinamic nu poate include opţiuni definite de utilizator. Opţiunile nu vor fi salvate."
"CSV / Tab separated","CSV / Tab separat"
"Card Verification Number","Număr de verificare al cardului"
"Catalog","Catalog"
"Channel","Canal"
"Channel:","Canal:"
"Choose Store View","Alege vizualizare magazin"
"Client Session timeout (sec.)","Timeout sesiune client (sec.)"
"Close","Închide"
"Comments History","Istoric comentarii"
"Confirmed email:","Email confirmat:"
"Connect with the Magento Community","Conectare la comunitatea Magento"
"Contents","Conţinuturi"
"Country:","Ţara:"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Create a backup"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Credit Card Number","Număr card de credit"
"Credit Card Number: xxxx-%s","Număr card de credit: xxxx-%s"
"Credit Card Type","Tip card de credit"
"Credit Card Type: %s","Tip card de credit: %s"
"Credit Memo History","Istoric credit memo"
"Credit Memo Totals","Total credit memo"
"Current Configuration Scope:","Current Configuration Scope:"
"Current Release Information","Lansare curentă informaţii"
"Custom","Personalizat"
"Customer Group:","Grup clienţi:"
"Customer Since:","Client din data de:"
"Customers","Clienţi"
"DHTML Date/Time Selector","Selector dată/timp DHTML"
"Dashboard","Panou de control"
"Data Format","Format dată"
"Data transfer:","Transfer date"
"Date selection:","Selecţie date:"
"Date selector","Selector date"
"Date:","Data:"
"Decimal separator:","Separator zecimal:"
"Default (Admin) Values","Valori implicite (Admin)"
"Default Values","Valori implicite"
"Delete","Şterge"
"Dependencies","Dependinţe"
"Description:","Descriere:"
"Direction:","Direcţie"
"Display %s first","Afişează %s primul"
"Distributed under GNU LGPL. See %s for details.","Distribuit sub Licenţă GNU. Vezi %s pentru detalii."
"Done By:","Realizat de:"
"Done by:","Realizat de:"
"Download Remote File","Descarcă fişierul de la distanţă"
"Drag to move","Trage pentru a muta"
"Edit Role","Editează rol"
"Edit User '%s'","Editează utilizatori '%s'"
"Email","Email"
"Email Preview","Previzualizare email"
"Email:","Email:"
"Enclose Values In:","Include valori în:"
"Entity type:","Tip entitate:"
"Excl. Tax","Exclude taxă"
"Exclude","Exclude"
"Expiration Date","Data expirării"
"Expiration Date: %s/%s","Data expirării: %s/%s"
"Export","Exportă"
"Export Filters","Exportă filtre"
"Export to:","Exportă către:"
"Export:","Exportă:"
"Extension","Extensie"
"Extensions","Extensii"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Cartografiere câmpuri"
"File Information","Informaţii fişier"
"File name:","Nume fişier:"
"Final Price","Preţ final"
"Finished items creation.","Finished items creation."
"First Name:","Prenume:"
"For latest version visit: %s","Pentru ultima versiune vizitaţi: %s"
"From","De la"
"General Settings","Setări generale"
"Get help for this page","Ajutor pentru această pagină"
"Global Record Search","Căutare înregistrări globale"
"Go Today","Mergi azi"
"Google Base Items","Produse Google Base"
"Group:","Grup:"
"Help Us Keep Magento Healthy - Report All Bugs","Ajutaţi-ne Să păstrăm Magento curat - raportaţi toate bug-urile "
"Ignore","Ignoră"
"Images","Imagini"
"Import","Importă"
"Import Service","Importă serviciu"
"In Database:","În baza de date"
"In File:","În fişier"
"Inactive","Inactiv"
"Incl. Tax","Include taxă"
"Include","Include"
"Installed As","Instalat ca"
"Interactive","Interactiv"
"Interface Locale: %s","Interfaţă locală: %s"
"Invalid webservice adapter specified","Adaptorul de serviciu web specificat e incorect"
"Invalid webservice handler specified","Handler-ul de serviciu web specificat e incorect"
"Invoice History","Istoric facturi"
"Invoice Totals","Total facturi"
"Issue Number","Număr ediţie"
"Issuer: %s","Emitent: %s"
"Items to merge","Items to merge"
"Last 5 Orders","Ultimele 5 comenzi"
"Last 5 Search Terms","Ultimii 5 termeni de căutare"
"Last Logged In (%s):","Logat ultima dată (%s):"
"Last Logged In:","Logat ultima dată:"
"Last Name:","Nume:"
"Latest Message:","Ultimul mesaj:"
"Leave empty to use tax identifier","Lasă necompletat pentru a folosi identificatorul de taxe"
"Level","Nivel"
"License:","Licenţă:"
"Loading...","Se încarcă..."
"Local Server","Server local"
"Local/Remote Server","Server local/la distanţă"
"Log Out","Log Out"
"Logged in as %s","Logat drept %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento core Api"
"Magento Core Api Section","Secţiunea Magento core Api"
"Magento Logo","Logo Magento"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; este o marcă a Inedit Media.<br/>Copyright &copy; %s Inedit Media"
"Maintainers","Maintainers"
"Manage Stores","Administrare magazine"
"Mapping Configuration","Mapping Configuration"
"Max","Max"
"Merge Now","Merge Now"
"Min","Min"
"Module version conflict!","Module version conflict!"
"N/A","N/A"
"Name","Nume"
"Name on Card","Nume pe card"
"Name on the Card: %s","Nume pe card: %s"
"Name:","Nume:"
"Next month (hold for menu)","Luna următoare (pastrează pentru meniu)"
"Next page","Pagina următoare"
"Next year (hold for menu)","Anul următor (pastrează pentru meniu)"
"No","Nu"
"No Data Found","Nu au fost găsite date"
"No search keywords.","Nu există cuvinte cheie pentru căutare"
"Note:","Notă:"
"Notes:","Note:"
"Number of records:","Număr de înregistrări:"
"Old rate:","Rating vechi:"
"Only mapped fields","Doar câmpuri cartografiate"
"Order Totals","Total comenzi"
"Order confirmation email not sent","Emailul de confirmare a comenzii nu a fost trimis"
"Order confirmation email sent","Emailul de confirmare a comenzii a fost trimis"
"Original Magento attribute names in first row:","Nume atribute originale Magento în primul rând:"
"Package","Pachet"
"Package Information","Informaţii pachet"
"Packages","Pachete"
"Page","Pagină"
"Passive mode","Mod pasiv"
"Password","Parolă"
"Path","Cale"
"Path:","Cale:"
"PayPal Email","Email PayPal"
"Personal Information","Informaţii personale"
"Phone:","Telefon:"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Vă rugăm să confirmaţi schimbarea site-ului. Toate datele care nu au fost salvate vor fi pierdute."
"Please enter 6 or more characters.","Vă rugăm să introduceţi minim 6 caractere"
"Please enter a number greater than 0 in this field.","Vă rugăm să introduceţi un număr mai mare decât 0 în acest câmp."
"Please enter a valid $ amount. For example $100.00.","Vă rugăm să introduceţi o sumă validă în $. De exemplu $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vă rugăm să introduceţi un URL valid. De exemplu http://www.exemplu.com sau www.exemplu.com"
"Please enter a valid URL. http:// is required","Vă rugăm să introduceţi un URL valid. http:// este necesar."
"Please enter a valid credit card number.","Vă rugăm să introduceţi un număr valid de card de credit."
"Please enter a valid date.","Vă rugăm să introduceţi o dată validă."
"Please enter a valid email address. For example johndoe@domain.com.","Vă rugăm să introduceţi o adresă de email validă. De exemplu popescu@domeniu.com."
"Please enter a valid number in this field.","Vă rugăm să introduceţi un număr valid în acest câmp."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vă rugăm să introduceţi un număr valid de telefon. De exemplu (021) 456-7890 or 021-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Vă rugăm să introduceţi un număr valid de asigurare socială. De exemplu 123-45-6789."
"Please enter a valid value from list","Vă rugăm să introduceţi o valoare validă din listă"
"Please enter a valid value, ex: 10,20,30","Vă rugăm să introduceţi o valoare validă, ex: 10,20,30"
"Please enter a valid zip code.","Vă rugăm să introduceţi un cod poştal valid."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Vă rugăm să introduceţi un cod poştal valid. De exemplu 90602 or 90602-1234."
"Please enter valid password.","Vă rugăm să introduceţi o parolă validă"
"Please make sure that your changes were saved before running the profile.","Asiguraţi-vă că schimbările au fost salvate înainte de a rula profilul. "
"Please make sure your passwords match.","Asiguraţi-vă că parolele se potrivesc."
"Please select State/Province.","Alegeţi Statul/Provincia."
"Please select an option.","Alegeţi o opţiune."
"Please select one of the above options.","Alegeţi una din opţiunile de mai sus."
"Please select one of the options.","Alegeţi una din opţiuni."
"Please use in this field only ""a-z,0-9,_"".","Folosiţi în acest câmp doar ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Folosiţi doar litere (a-z) în acest câmp."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Folosiţi doar numere în acest câmp. Evitaţi spaţiile goale sau alte caractere precum punctele sau virgulele."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Folosiţi doar litere (a-z) sau numere (0-9) în acest câmp. Spaţiile sau alte caractere nu sunt permise."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Folosiţi doar litere (a-z) sau numere (0-9) sau spaţii şi # în acest câmp."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Folosiţi acest format al datei: zi/lună/an. De exemplu 17/03/2006 pentru 17 Martie 2006."
"Please wait, loading...","Aşteptaţi, se încarcă..."
"Please, select a store view","Please, select a store view"
"Prev. month (hold for menu)","Luna precedentă (păstrează pentru meniu)"
"Prev. year (hold for menu)","Anul precedent (păstrează pentru meniu)"
"Previous page","Pagina precedentă"
"Price","Preţ"
"Price:","Preţ:"
"Primary Billing Address","Adresa principală de facturare"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","Produs"
"Products","Produse"
"Profile Information","Informaţii profil"
"Provided Files","Fişiere furnizate"
"Qty","Cantitate"
"Read details","Citeşte detalii"
"Recommended","Recomandat"
"Remote FTP","FTP la distanţă"
"Remote URL:","URL la distanţă:"
"Remove","Remove"
"Resource Access","Acces resurse"
"Resources","Resurse"
"Role","Rol"
"Role Users","Utilizatori rol"
"Roles","Roluri"
"Roles Resources","Resurse roluri"
"SKU","Cod intern produs"
"SKU:","Cod intern produs:"
"Schedule Merge","Schedule Merge"
"Select All","Selectează tot"
"Select Date","Selectează data"
"Select Range","Selectează interval"
"Select Visible","Selectează vizibil"
"Select date","Selectează data"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Shipment Comments","Comentarii livrare"
"Shipment History","Istoric livrare"
"Shipping Address","Adresă livrare"
"Shipping address selection is not applicable","Adresa principală de livrare nu este aplicabilă"
"Shipping method selection is not applicable","Metoda de livrare nu este aplicabilă"
"Show Report for","Afişează raport pentru"
"Show by","Afişează după"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Unele produse din această comandă au facturi şi tipuri de livrare diferite. Puteţi crea livrarea doar după ce este creată factura."
"Sort Order","Sortează comenzi"
"Spreadsheet Name:","Nume Spreadsheet:"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Start Date","Dată de start"
"State/Province:","Stat/Provincie:"
"Status","Situaţie"
"Status:","Situaţie:"
"Stock Quantity:","Cantitate în stoc"
"Store:","Magazin"
"Store: ","Store: "
"Subpackage","Subpachet"
"Subpackages","Subpachete"
"Summary:","Sumar:"
"Switch/Solo Only","Schimbă/Doar Solo"
"Switch/Solo card issue number: %s","Schimbă/Numărul ediţiei cardului Solo: %s"
"Switch/Solo card start Date: %s/%s","Schimbă/Data de start a cardului Solo: data de start: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Schimbă/Solo/Doar Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Schimbă/Solo/ Maestro(UK Domestic) numărul ediţiei cardului: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Schimbă/Solo/ Maestro(UK Domestic) Data de start a cardului: %s/%s"
"The information in this tab has been changed.","Informaţiile din acest tab au fost schimbate."
"This is a required field.","Acest câmp este obligatoriu."
"This tab contains invalid data. Please solve the problem before saving.","Acest tab conţine date incorecte. Rezolvaţi problema înainte de a salva."
"Thumbnail","Thumbnail"
"Time selection:","Selecţie timp:"
"Time:","Timp:"
"To","Către"
"Top 5 Search Terms","Top 5 termeni de căutare"
"Total %d records found","Total înregistrări găsite: %d"
"Track order","Urmăreşte comandă"
"Track this shipment","Urmăreşte acest transport"
"Type","Tip"
"Type:","Tip:"
"Unable to login.","Nu vă puteţi loga"
"Unselect All","Deselectaţi tot"
"Unselect Visible","Deselectaţi vizibil"
"Upgrade All Available Packages","Upgrade toate pachetele disponibile"
"Upload Local File","Încarcă fişier local"
"Upload local file:","Încarcă fişier local:"
"Use Default Value","Foloseşte valoarea implicită"
"User","Utilizator"
"User Name","Nume utilizator"
"User Roles","Roluri utilizator"
"User name","Nume utilizator"
"Users","Utilizatori"
"Value Delimiter:","Delimitator valoare:"
"Version:","Versiune:"
"View","Vezi"
"View Statistics for","Vezi statistici pentru"
"Visibility:","Vizibilitate:"
"Warning! Empty value can cause problems with CSV format.","Avertisment! Lipsa unei valori poate cauza probleme cu formatul CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Avertisment!\r\nAceastă acţiune va şterge acest utilizator din rolul deja desemnat\r\nSunteţi sigur?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Avertisment!\r\nAceastă acţiune va şterge aceşti utilizatori din rolurile deja desemnate\r\nSunteţi sigur?"
"Web Services","Servicii web"
"Web Services Configuration","Configurare servicii web"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
"What is this?","Ce este asta?"
"Yes","Da"
"You have","Aveţi"
"Your Account has been deactivated.","Contul a fost dezactivat"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Setările serverului PHP nu vă permit să încărcaţi mai mult de %s fişiere o dată. Modificaţi valorile post_max_size (momentan este %s) şi upload_max_filesize (momentan este %s) în php.ini dacă vreţi să încărcaţi fişiere mai mari."
"Zip/Postal Code:","Cod poştal:"
"critical","critică"
"images/logo.gif","images/logo.png"
"items selected","produse selectate"
"major","major"
"md5sum","md5sum"
"minor","minor"
"notice","notificare"
"of %s pages","din %s pagini"
"or","sau"
"per page","per pagină"
"to","către"
