"* Required Fields","* Câmpuri obligatorii"
"Contact Information","Informaţii contact"
"Continue Shopping","Continuă cumpărăturile"
"Country","Ţară"
"Create","Creare"
"Create New Account Options","Creare noi opţiuni cont"
"Create New Customer Account","Creare cont nou client"
"Create Order","Creare comandă"
"Create an Account","Creaţi un cont"
"Create customer","Creare client"
"Create customer address","Creare adresă client"
"Current Password","Parola curentă"
"Customer","Client"
"Customer Addresses","Adresă client"
"Customer Api","Api Client"
"Customer Configuration","Configurare client"
"Customer Group","Grup de clienţi"
"Customer Group was successfully deleted","Grupul de clienţi au fost şterse"
"Customer Group was successfully saved","Grupul de clienţi a fost salvat"
"Customer Groups","Grupuri de clienţi"
"Customer Information","Informaţii clienţi"
"Customer Login","Autentificare client"
"Customer Since","Client din"
"Customer View","Vizualizare client"
"Customer collection expected","Colecţia de clienţi este aşteptată"
"Customer doesn't have primary billing address","Clientul nu are adresa principală de facturare"
"Customer email already exists","Emailul clientului există deja"
"Customer website id must be specified, when using website scope.","Id-ul website-ului clientului trebuie specificat când este folosit website scope."
"Customers","Clienţi"
"Customers Only","Doar clienţii"
"Customers Section","Secţiune clienţi"
"DD","DD"
"Date","Data"
"Date Added","Dată adăugată"
"Date of Birth","Data naşterii"
"Date of Birth is required.","Data naşterii este necesară"
"Day","Zi"
"Days in Wishlist","Zile în lista de dorinţe"
"Default Addresses","Adresă implicită"
"Default Billing Address","Adresă de facturare implicită"
"Default Email Domain","Domeniu de email implicit"
"Default Group","Grup implicit"
"Default Shipping Address","Adresă de livrare implicită"
"Default Welcome Email","Email de întâmpinare implicit"
"Delete","Şterge"
"Delete Address","Şterge adresă"
"Delete Customer","Şterge client"
"Delete Customer Group","Şterge grup de clienţi"
"Delete customer","Şterge client"
"Delete customer address","Şterge adresa clientului"
"Deleted Stores","Şterge magazine"
"Details","Detalii"
"Disabled","Dezactivat"
"Edit","Editează"
"Edit Account Info","Editează informaţii cont"
"Edit Account Information","Editează informaţii cont"
"Edit Address","Editează adresa"
"Edit Address Entry","Editează adresa"
"Edit Customer Group ""%s""","Editează grupul de clienţi ""%s"""
"Edit Customer Groups","Editează grupul de clienţi"
"Edit Customer's Address","Editează adresa clientului"
"Edit Group","Editează grup"
"Edit Newsletter Subscription","Editează abonare newsletter"
"Edit Newsletters","Editează newsletter-uri"
"Edit Personal Information","Editează informaţii personale"
"Email","Email"
"Email Address","Adresă email"
"Email Sender","Email expeditor"
"Entity collection is expected","Colecţia de entităţi este aşteptată"
"Error during retrieval of option value: %s","Eroare în timpul recuperării opţiunii valorii: %s"
"Ext. Price","Preţ ext."
"Failed to confirm customer account.","Contul clientului nu a putut fi confirmat."
"Fax","Fax"
"First Name","Prenume"
"First name can\'t be empty","Prenumele nu poate fi necompletat"
"Forgot Email Sender","Expeditor email uitat"
"Forgot Email Template","Template email uitat"
"Forgot Your Password?","Aţi uitat parola?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Din tabloul de comandă puteţi vedea o poză cu activitatea recentă a contului şi puteţi actualiza informaţiile contului. Alegeţi un link de mai jos pentru a vedea sau edita informaţiile."
"General Subscription","Abonare generală"
"Global","Global"
"Go to Address Book","Mergi la agendă"
"Grand Total","Total final"
"Grand Total: %s","Total finll: %s"
"Group","Grup"
"Group ""%s"" can not be deleted","Grupul ""%s"" nu poate fi şters"
"Group Information","Informaţii grup"
"Group Name","Nume grup"
"Guest","Vizitator neînregistrat"
"HTML","HTML"
"Hello, %s!","Bună ziua %s!"
"ID","ID"
"IP Address","Adresă IP"
"If you have an account with us, please log in.","Dacă aveţi un cont creat, logaţi-vă"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Atributul opţiunii specificat pentru atribut este incorect %s (%s), se trece peste înregistrare"
"Invalid attribute set specified, skipping the record","Setul de atribute specificat este incorect, se trece peste înregistrare"
"Invalid current password","Parola curentă incorectă"
"Invalid customer data","Date client incorecte"
"Invalid email address","Adresă de email incorectă"
"Invalid email address ""%s""","Adresă de email incorectă ""%s"""
"Invalid login or password.","Numele sau parola sunt greşite"
"Invalid option id specified for %s (%s), skipping the record","Opţiunea id specificată pentru %s (%s), se trece peste înregistrare"
"Invalid store specified, skipping the record","Magazinul specificat este incorect, se trece peste înregistrare"
"Items Order","Ordine produse"
"Last 5 Orders","Ultimele 5 Comenzi"
"Last Activity","Ultima activitate"
"Last Name","Nume"
"Last Url","Ultimul url"
"Last Viewed Items","Ultimele produse vizualizate"
"Last date subscribed","Ultimele dată abonat"
"Last date unsubscribed","Ultimele dată dezabonat"
"Last name can\'t be empty","Numele nu poate fi necompletat"
"Leave empty for default (15 minutes).","Lăsaţi necompletat pentru default (15 minute)."
"Leave empty for default (2). Valid range: 1-4","Lăsaţi necompletat pentru default (2). Interval valid: 1-4"
"Lifetime Sales","Vânzări lifetime"
"Log In","Intrare în cont"
"Log Out","Ieşire din cont"
"Log in or Create an Account","Logaţi-vă sau creaţi un cont"
"Login","Autentificare"
"Login Information","Informaţii autentificare"
"Login and password are required","Login şi parola sunt necesare"
"Login or Create an Account","Autentificaţi-vă sau creaţi-vă un cont"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Administrare adrese"
"Manage Customers","Administrare clienţi"
"Missing email, skipping the record","Email lipsă, se trece peste înregistrare"
"Missing firstname, skipping the record","Prenume lipsă, se trece peste înregistrare"
"Missing lastname, skipping the record","Nume lipsă, se trece peste înregistrare"
"Month","Lună"
"My Account","Contul meu"
"My Account Dashboard","Contul meu - panou de control"
"My Dashboard","Tabloul meu de comandă"
"My Orders","Comenzile mele"
"My Reviews","Recenziile mele"
"My Tags","Etichetele mele"
"My Wishlist","Lista mea de dorinţe"
"Name","Nume"
"Name and Address Options","Opţiuni nume şi adresă"
"Never","Niciodată"
"New Address","Adresă nouă"
"New Address Entry","Adresă nouă"
"New Customer","Client nou"
"New Customer Address","Adresă client nou"
"New Customer Group","Nou grup clienti"
"New Customer Groups","Noi grupuri clienţi"
"New Customers","Clienţi noi"
"New Group","Grup nou"
"New Password","Parolă nouă"
"New account","Cont nou"
"New account confirmation key","Cheie de confirmare cont nou"
"New account confirmed","Noul cont a fost confirmat"
"New password","Parolă nouă"
"Newsletter","Newsletter"
"Newsletter Finish","Finalizare ewsletter"
"Newsletter Information","Informaţii newsletter"
"Newsletter Received","Newsletter primit"
"Newsletter Start","Început newsletter"
"Newsletter Subscription","Abonare newsletter"
"Newsletters","Newsletter-uri"
"No Items Found","Nu au fost găsite produse"
"No Newsletter Found","Nu au fost găsite newsletter-uri"
"No item specified.","Nu a fost specificat niciun produs."
"No product collections found","Nu a fost găsită nicio colecţie de produse"
"Not Sent","Nu a fost trimis"
"Not confirmed, can login","Neconfirmat, se poate loga"
"Not confirmed, cannot login","Neconfirmat, nu se poate loga"
"Number of lines in a street address ","Numărul de linii dintr-o adresă de stradă"
"Offline","Offline"
"Online","Online"
"Online Customers","Clienţi online"
"Online Customers Options","Opţiuni clineţi online"
"Online Minutes Interval","Interval minute online"
"Order #","Comanda #"
"Order #%s (%s)","Comanda #%s (%s)"
"Order List...","Lista comenzi..."
"Order Total","Total comandă"
"Orders","Comenzi"
"PDF","PDF"
"Password","Parolă"
"Password Management","Administrare parolă"
"Password Options","Opţiuni parolă"
"Password can\'t be empty","Parola trebuie completată"
"Password fields can\'t be empty.","Câmpurile parolei trebuie completate"
"Password forgotten","Parolă uitată"
"Password minimal length must be more %s","Lungimea minimă a parolei trebuie să fie mai mare %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Parolele trebuie să fie de minim 6 caractere. Spaţiile goale vor fi ignorate."
"Paused","Pauză"
"Payment Method","Metodă de plată"
"Pending","În curs de acceptare"
"Per Website","Per website"
"Personal Information","Informaţii personale"
"Please enter your email below and we\'ll send you a new password.","Introduceţi emailul mai jos şi vă vom trimite o nouă parolă."
"Please enter your email below and we\'ll send you confirmation link for it.","Introduceţi emailul mai jos şi vă vom trimite un link de confirmare."
"Please enter your email.","Introduceţi emailul."
"Please make sure your passwords match.","Fiţi sigur că parolele se potrivesc."
"Please select","Alegeţi"
"Please select region, state or province","Alegeţi regiunea, statul sau provincia"
"Please, check your e-mail for confirmation key.","Verificaţi emailul pentru cheia de confirmare."
"Prefix","Prefix"
"Prefix dropdown options","Prefix opţiuni dropdown"
"Price","Preţ"
"Primary Billing Address","Adresă principală de facturare"
"Primary Shipping Address","Adresă principală de livrare"
"Problem saving the collection, aborting. Error: %s","Probleme cu salvarea colecţiei, proces terminat. Eroare: %s"
"Product","Produs"
"Product ID","ID produs"
"Product Name","Nume produs"
"Product Reviews","Recenzii produs"
"Product Tags","Etichete produs"
"Product name","Nume produs"
"Purchase On","Cumpărat în"
"Purchased at","Cumpărat la"
"Qty","Cantitate"
"Recent Orders","Comenzi recente"
"Records for ""","Înregistrări pentru """
"Refunded","Returnat"
"Registered Customers","Clienţi înregistraţi"
"Remove","Şterge"
"Require Emails Confirmation","Este nevoie de confirmare pe email"
"Retrieve address data","Recuperează date adresă"
"Retrieve address info","Recuperează informaţii adresă"
"Retrieve customer addresses","Recuperează adresa clientului"
"Retrieve customer data","Recuperează date client"
"Retrieve customer's groups","Recuperează grupuri client"
"Retrieve customers","Recuperează clienţi"
"Retrieve customers info","Recuperează informaţii clienţi"
"Retrieve your confirmation link here","Recuperează link-ul de confirmare aici"
"Retrieve your password here","Recuperare parolaă"
"SKU","Cod intern produs"
"Sales Statistics","Statistici vânzări"
"Save","Salvează"
"Save Address","Salvează adresa"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Salvează client"
"Save Customer Group","Salvează grup de clienţi"
"Save Password","Salvează parola"
"Saved ","Salvat"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Punct şi virgulă (;) valori separate.<br/>Folosoţi punct şi virgulă la început pentru a lăsa necompletată prima opţiune. <br/>Lăsaţi necompletat pentru câmp de text deschis."
"Send Welcome Email after Confirmation","Trimite email de întâmpinare după confirmare"
"Send auto-generated password","Trimite parolă generată automat"
"Send confirmation link","Trimite link de confirmare"
"Send welcome email","Trimite email de întâmpinare"
"Sending","Se trimite"
"Sent","Trimis"
"Session Start Time","Timp de start sesiune"
"Set as Default Billing Address","Setează ca adresă de facturare implicită"
"Set as Default Shipping Address","Setează ca adresă de livrare implicită"
"Share Customer Accounts","Publicare conturi clienţi"
"Ship to First name","Livrează pentru prenume"
"Ship to Last name","Livrează pentru nume"
"Shipped to First Name","Livrat pentru prenume"
"Shipped to Last Name","Livrat pentru nume"
"Shipped to Name","Livrat pentru nume complet"
"Shipping Information","Informaţii de livrare"
"Shipping Method","Metodă de livrare"
"Shopping Cart","Coş de cumpărături"
"Shopping Cart - %d item(s)","Coş de cumpărături - %d produs(e)"
"Show Tax/VAT number","Afişează Taxe/TVA"
"Show date of birth","Afişează data naşterii"
"Show middle name (initial)","Afişează al doilea prenume (iniţiala)"
"Show prefix","Afişează prefix"
"Show suffix","Afişează sufix"
"Sign Up for Newsletter","Abonare newsletter"
"Sign up for our newsletter","Abonaţi-vă la newsletter-ul nostru"
"Skip import row, required field ""%s"" not defined","Treci peste importare rând, câmpul necesar ""%s"" nu este definit"
"Skip import row, website ""%s"" field not exists","Treci peste importare rând, câmpul website-ului ""%s"" nu există"
"State/Province","Stat/Provincie"
"Status","Situaţie"
"Store","Magazin"
"Store View","Vizualizare magazin"
"Street Address","Adresă stradă"
"Street Address ","Adresă stradă"
"Subject","Subiect"
"Submit","Trimite"
"Subscribe","Abonare"
"Subscribe to newsletter","Abonare la newsletter"
"Subscribed to Newsletter?","Abonat la newsletter?"
"Suffix","Sufix"
"Suffix dropdown options","Opţiuni sufix dropdown"
"TAX/VAT number is required.","Numărul Taxa/TVA este necesar"
"Tag Name","Nume etichetă"
"Tax Class","Clasă taxe"
"Tax class","Clasă taxe"
"Tax/VAT number","Număr Taxa/TVA"
"Telephone","Telefon"
"Text","Text"
"Text One Line","Text o linie"
"Thank you for registering with %s","Vă mulţumim pentru că v-aţi înregistrat pe %s"
"The address does not belong to this customer","Adresa nu aparţine acestui client"
"The address was successfully deleted","Adresa a fost ştearsă"
"The address was successfully saved","Adresa a fost salvată"
"The suffix that goes after name (Jr., Sr., etc.)","Sufixul vine dupa nume (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Titlul vine înaintea numelui (Dl., Dna., etc.)"
"There are no items in customer's wishlist at the moment","Nu există produse în în lista de dorinţe a clientului în acest moment"
"There are no items in customer\'s shopping cart at the moment","Nu există produse în coşul de cumpărături al clientului în acest moment"
"There was an error while deleting the address","A apărut o eroare în timp ce adresa era ştearsă"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Acest email va fi trimis ca email implicit de întâmpinare, după confirmarea contului"
"This account is not confirmed.","Acest cont nu e confirmat"
"This customer has no saved addresses.","Acest client nu are adrese salvate."
"This e-mail does not require confirmation.","Acest email nu necesită confirmare"
"This email address was not found in our records","Această adresă de email nu a fost găsită în înregistrările noastre"
"This is My Primary %s Address","Aceasta este adresa mea principală %s"
"To Cart","Spre coş"
"Total","Total"
"Type","Tip"
"Unknown","Necunoscut"
"Unsubscribe from newsletter","Dezabonare de la newsletter"
"Update","Actualizare"
"Update customer address data","Actualizare date adresă client"
"Update customer data","Actualizare date clienţi"
"Use as My Primary %s Address","Foloseşte drept adresa %s mea primară"
"Use as my default billing address","Foloseşte drept adresa mea implicită de facturare"
"Use as my default shipping address","Foloseşte drept adresa mea implicită de livrare"
"User description","Descriere utilizator"
"View","Vizualizare"
"View Order","Vizualizare comandă"
"View Order List","Vizualizare listă comandă"
"Visible In","Vizibil în"
"Visitor","Vizitator"
"Visitors Only","Doar vizitatorii"
"Website","Website"
"Welcome Email","Email de întâmpinare"
"Wishlist","Lista de dorinţe"
"Wishlist - %d item(s)","Lista de dorinţe - %d produse"
"Wrong confirmation key.","Cheie de confirmare greşită"
"Wrong customer account specified.","Contul specificat este greşit"
"Wrong email.","Email greşit"
"Wrong region id by selected country","Ţara selectată are id-ul de regiune greşit"
"Wrong transactional account email type.","Tip greşit de email cont tranzacţional."
"XML","XML"
"YYYY","YYYY"
"Year","An"
"You are currently not subscribed to any newsletter.","Nu sunteţi abonat la newsletter-ul nostru."
"You are currently not subscribed to our newsletter","Nu sunteţi abonat la newsletter-ul nostru"
"You are currently subscribed to 'General Subscription'.","Sunteţi abonat la 'Abonare Generală'."
"You are currently subscribed to our newsletter","Sunteţi abonat la newsletter-ul nostru"
"You are currently subscribed to our newsletter.","Nu sunteţi abonat la newsletter-ul nostru."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","V-aţi delogat şi veţi fi redirectat către pagina principală în 5 secunde."
"You have no additional address entries in your address book.","Nu aveţi adrese adiţionale în agendă."
"You have no additional entries in your address book.","Nu aveţi notări adiţionale în agendă."
"You have no default billing address in your address book.","Nu aveţi nicio adresă default de facturare în agendă."
"You have no default shipping address in your address book.","Nu aveţi o adresă default de livrare în agendă."
"You have no primary entries in your address book.","Nu aveţi notări principale în agendă."
"You have not set a primary billing address.","Nu aţi setat o adresă principală de facturare."
"You have not set a primary shipping address.","Nu aţi setat o adresă principală de livrare."
"You have placed no orders yet.","Nu aţi dat nicio comandă"
"You have placed no products yet.","Nu aţi plasat niciun produs încă."
"You're now Logged Out","V-aţi delogat"
"Your account balance is: %s","Balanţa contului este: %s"
"ZIP","Cod Poştal"
"ZIP/Post Code","Cod Poştal"
"ZIP/Postal Code","Cod Poştal"
"Zip/Postal Code","Cod Poştal"
"n/a","n/a"
"or","sau"
