"Pricing wizard","Assistant prix"
"Offers with 3+ competitors","Offres avec 3+ vendeurs"
"Buy box trend","Tendances des bbw"
"Categories to export","Catégories à exporter"
"Export only products with stock","Export uniquement les produits avec du stock"
"Number of products exported","Nombre de produits exportés"
"Product types to export","Types de produits à exporter"
"My position","Ma position"
"Best seller","Meilleur vendeur"
"Cheaper seller","Vendeur le moins cher"
"Price of best seller","Prix du meilleur vendeur"
"Price of cheaper seller","Prix du vendeur le moins cher"
"Name","Nom"
"Between","Entre"
"and","et"
"Intervals support only whole numbers (12 instead of 12.1 for instance). If you configure 'between 0 and 12', it will include every numbers between 0 and 12.99","Cette condition supporte uniquement les nombres entiers. Si vous saisissez 'entre 0 et 12', cela incluera tous les nombres entre 0 et 12.99"
"Yes","Oui"
"No","Non"
"Contains","Contient"
"formula","formule"
"method","méthode"
"Excluded","Exclu"
"Included","Inclu"
"best competitor","meilleur vendeur"
"method","méthode"
"value","valeur",
"product type","type de produit"
"Ignore sellers'offers","ignorer les offres de ces vendeurs"
"Value","Valeur"
"Percent","Pourcentage"
"new","neuf"
"used","occasion"
"all","tous"
"allow free shipping","livraison gratuite"
"percent","pourcentage"
"Matching status","Association"
"Associated","Associé"
"Not associated","Non associé"
"Pending","En attente"
"Mapping (fields association)", "Mapping (association des champs)"
"Fields", "Champs"
"Product visibilities to export","Visibilité(s)"
"Attribute(s) to exclude from export","Attribut(s) à exclure de l'export"
"Login","Identifiant"
"Password","Mot de passe"
"Webservices credentials","Identifiants API"
"Credentials","Identifiants"
"Merchant ID","Identifiant Marchand"
"Access Key","Clé d'accès"
"Secret Key","Clé secrète"
"Allowed Manufacturer(s)","Fabriquant(s) authorisé(s)"
"Created At After","Produits créés après le"
"Created At Before", "Produits créés avant le"
"Enable with caution", "A activer en connaissance de cause"
"Fill attribute names separated by a coma","Renseigner les attributs en les séparant par des virgules"
"Ignore FBA offers (Delivery by Amazon)","Ignorer les offres FBA (expédié par Amazon)"
"Brand","Marque"
"Positioned seller","Vendeur positionné"
"Target reached","Cible atteinte"
"Error","Erreur"
"In Error","En Erreur"
"Target seller","Vendeur cible"
"Seller price","Prix du vendeur"
"Include / Exclude products","Inclure / Exclure des produits"
"Product cost","Prix d'achat des produits"
"Minimum profit margin","Marge minimum"
"Commissions on sales","Commissions sur les ventes"
"Price offer without competitor","Prix de vente des offres sans concurrent"
"shipping grid","Grille de transport"
"coefficent to apply on shipping grid","coefficient à appliquer sur la grille de transport"
"percent (20 for 20 %)","pourcentage (20 pour 20 %)"
"value / percent","valeur / pourcentage"
"Price calculation","Calcul du prix"
"Account status","Statut du compte"
"Account","Compte Smart Price"
"Top seller position","Vendeur le mieux positionné"
"Qty","Qté"
"Disable","Désactivé"
"Catalog Export (ERP settings)","Export du catalogue (réglages ERP)"
"Exclude suppliers with 0 stock","Exclure les fournisseurs sans stock"
"Exclude suppliers without price","Exclure les fournisseurs sans prix"
"If enabled, suppliers without stock are not used to select the best supplier","Si activé, les fournisseurs sans stock sont ignorés dans le calcul du meilleur fournisseur"
"If enabled, suppliers without buying price are not used to select the best supplier","Si activé, les fournisseurs sans prix sont ignorés dans le calcul du meilleur fournisseur"
