"%s was successfully added to your shopping cart.","%s sikeresen a kosárba téve."
"Coupon code ""%s"" was applied successfully.","Kupon kód ""%s"" sikeresen elfogadva."
"Coupon code was canceled successfully.","Kupon kód sikeresen törölve."
"Can not apply coupon code.","Kupon kódot nem sikerült ellenőrizni."
"Cancel Coupon","Kupon törlése"
"Recently added item(s)","Legutóbb hozzáadott termékek"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum engedélyezett mennyiség a több címre szállításhoz: %s"
"Maximum display Recently added item(s)","Maximum megjelenített legutóbb hozzáadott elem"
"There is already a customer registered using this email address","Már regisztrált egy felhasználó ezzel az e-mail címmel"
"Already registered?","Már regisztrált nálunk?"
"Ship to different address","Másik címre szállítás"
"Change","Módosít"
"State/Province","Megye"
"Qty","Mennyiség"
"Update Qty &amp; Addresses","Mennyiség &amp; címek frissítése"
"Data saving problem","Mentési probléma"
"After adding a product redirect to shopping cart","Miutána a kosárba tettünk egy terméket, irányítson a bevásárlókosárhoz"
"Some of the products you requested are unavailable","Néhány termék nem elérhető."
"Some of the products you requested are not available in the desired quantity","Néhány termék nincs a kért mennyiségben"
"Can not add item to shopping cart","Nem lehet ezt a terméket a kosárba rakni."
"Can't open overview page","Nem sikerült megnyitni az áttekintőt"
"Sorry, no quotes are available for this order at this time.","Nincsenek elérhető megjegyzések ehhez a rendeléshez."
"Country","Ország"
"osCommerce Orders","osCommerce rendelések"
"Checkout","Pénztár"
"Checkout Options","Pénztár beállítás"
"Manage Checkout Terms and Conditions","Pénztár Felhasználási feltételek kezelése"
"Checkout Terms and Conditions","Pénztár használati feltételek"
"Checkout Section","Pénztár szekció"
"Your Checkout Progress","Pénztári folyamat"
"Subtotal","Részösszeg"
"Details","Részletek"
"Register","Regisztráció"
"Register to Create an Account","Regisztráljon és hozza létre fiókját"
"Register and save time!","Regisztráljon és nyerjen időt!"
"Register with us for future convenience:","Regisztráljon nálunk a további kényelemért:"
"Order #","Rendelés #"
"Your order # is: %s","Rendelés # : %s"
"Your order # is: <a href=""%s"">%s</a>","Rendelés #: <a href=""%s"">%s</a>"
"Review Order","Rendelés átnézése"
"Review Order - %s","Rendelés átnézése - %s"
"Order Review","Rendelés áttekintése"
"Place Order","Rendelés elküldése"
"Order Success","Rendelés sikeres"
"Your order number is ","Rendelésének azonosítója: "
"Your order has been received","Rendelését megkaptuk"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Rendelése feldolgozás alatt van,hamarosan küldünk egy e-mailt a rendelés részleteivel."
"Submitting order information...","Rendelési információk feldolgozása..."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sajnálom, vendégként vásárlás nem engedélyezett, vegye fel a kapcsolatat az oldal tulajdonosával."
"Payment Failed Email Reciever","Sikertelen fizetés E-mail címzett"
"Payment Failed Email Sender","Sikertelen fizetés e-mail feladó"
"Payment Failed Template","Sikertelen fizetés e-mail sablon"
"Payment Failed Emails","Sikertelen fizetés E-mail-ek"
"Estimate Shipping and Tax","Szállítás díj becslése."
"Ship to this address","Szállítás erre a címre"
"Shipping to","Szállítás ide"
"Shipping selection is not applicable","Szállítás nem választható"
"Shipping Address","Szállítási cím"
"Create Shipping Address","Szállítási cím létrehozása"
"Edit Shipping Address","Szállítási cím szerkesztése"
"Shipping Information","Szállítási információk"
"Shipping Method","Szállítási mód"
"Shipping method has not been selected yet","Szállítási mód még nincs kiválasztva"
"Shipping Methods","Szállítási módok"
"Checkout with Multiple Addresses","Számlázás több címre"
"Billing Address","Számlázási cím"
"Create Billing Address","Számlázási cím létrehozása"
"Change Billing Address","Számlázási cím módosítása"
"Edit Billing Address","Számlázási cím szerkesztése"
"Use Billing Address","Számlázási címet használ"
"Billing Information","Számlázási információk"
"Billing Information - %s","Számlázási információk - %s"
"Get a Quote","Számolás"
"Text","Szöveg"
"My Account","Személyes adatok"
"Edit","Szerkeszt"
"Content Height","Tartalmi rész magassága"
"Content","Tartalom"
"Content Height (css)","Tartalom magassága (css)"
"Show Content as","Tartalom mutatása mint"
"Ship to Multiple Addresses","Több címre szállítás"
"Telephone","Telefon"
"Product","Termék"
"Remove Product","Termék eltávolítása"
"Display item quantities","Termék mennyiségek mutatása"
"Product does not exist","Termék nem létezik"
"Product Name","Termék neve"
"Items","Termékek"
"Display number of items in cart","Termékek számának mutatása a kosárban"
"Disabled","Tiltva"
"Continue","Tovább"
"Proceed to Checkout","Tovább a pénztárhoz"
"Continue to Review Your Order","Tovább a rendelés áttekintéséhez"
"Continue to Shipping Information","Tovább a szállítási információkhoz"
"Continue to Billing Information","Tovább a számlázási információkhoz"
"Street Address","Utca/házszám"
"Street Address ","Utca/házszám "
"Select Addresses","Válassza ki a címeket"
"Select State/Province...","Válassza ki a megyét"
"Select a shipping address from your address book or enter a new address.","Válassza ki a szállítási címet a címjegyzékből vagy adjon meg egy újat."
"Select Shipping Method","Válassza ki a szállítási módot"
"Select a billing address from your address book or enter a new address.","Válassza ki a számlázási címet a címjegyzékből vagy adjon meg egy újat."
"Select Address","Válasszon címet"
"Please select shipping address for applicable items","Válasszon szállítási címet a megfelelő termékekhez"
"Please select shipping methods for all addresses","Válasszon szállítási módot a címekhez"
"Please select region, state or province","Válasza ki a megyét"
"City","Város"
"Checkout Conditions","Vásárlás feltételei"
"Checkout method","Vásárlás folyamata"
"Continue Shopping","Vásárlás folytatása"
"Checkout as Guest","Vásárlás vendégként"
"Checkout as a Guest or Register","Vásárlás vendégként vagy regisztráció"
"Total","Végösszeg"
"Total for this address","Végösszeg erre a címre"
"Update Total","Végösszeg frissítése"
"Grand Total:","Végösszeg:"
"Allow Guest Checkout","Vendég vásárlásának engedélyezése"
"Load customer quote error","Vevő üzenet hiba betöltése"
"Back","Vissza"
"Back to Shipping Information","Vissza a szállítási információkhoz"
