"* Required Fields","* Camps requerits"
"Not Sent","No s'ha enviat"
"No item specified.","No s'ha especificat cap article."
"No Items Found","No s'han trobat articles"
"No Newsletter Found","No s'han trobat butlletins de notícies"
"No product collections found","No s'han trobat col·leccions de productes"
"You have no additional address entries in your address book.","No teniu adreces addicionals a la vostra llibreta d'adreces."
"You have no additional entries in your address book.","No teniu entrades addicionals a la vostra llibreta d'adreces."
"You have no primary entries in your address book.","No teniu entrades principals a la vostra llibreta d'adreces."
"You have no default shipping address in your address book.","No teniu una adreça d'enviament per defecte a la vostra llibreta d'adreces."
"You have no default billing address in your address book.","No teniu una adreça de facturació per defecte a la vostra llibreta d'adreces."
"Name","Nom"
"First Name","Nom"
"Tag Name","Nom de l'etiqueta"
"Bill to Name","Nom de la factura"
"Group Name","Nom del grup"
"Product name","Nom del producte"
"Product Name","Nom del producte"
"Name and Address Options","Nom i adreça"
"Missing firstname, skipping the record","Nom perdut, omet el registre"
"Customers Only","Només clients"
"Visitors Only","Només visitants"
"Number of lines in a street address ","Nombre de línies en un carrer de l'adreça "
"New Customer","Nou client"
"New account","Nou compte"
"New account confirmed","Nou compte confirmat"
"New Group","Nou grup"
"New Customer Group","Nou grup de clients"
"New Customers","Nous clients"
"New Customer Groups","Nous grups de clients"
"New Address","Nova adreça"
"New Customer Address","Nova adreça del client"
"New password","Nova contrasenya"
"New Password","Nova contrasenya"
"New Address Entry","Nova entrada d'adreça"
"or","o"
"Skip import row, website ""%s"" field not exists","Omet la fila d'importació. El camp del lloc web ""%s"" no existeix."
"Skip import row, required field ""%s"" not defined","Omet la fila d'importació. El camp requerit ""%s"" no està definit."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opció d'atribut invàlida per a l'atribut %s (%s), omet el registre"
"Online Customers Options","Opcions de clients connectats"
"Password Options","Opcions de la contrasenya"
"Account Sharing Options","Opcions per compartir el compte"
"Country","País"
"Paused","Pausat"
"PDF","PDF"
"Pending","Pendent"
"Per Website","Per lloc web"
"Forgot Email Template","Plantilla per a recordatori de correu electrònic"
"Prefix","Prefix"
"Prefix dropdown options","Prefix d'opcions desplegable"
"Price","Preu"
"Ext. Price","Preu Ext."
"Product","Producte"
"Qty","Qtat"
"Retrieve customer addresses","Recupera adreces de clients"
"Retrieve customers","Recupera clients"
"Retrieve customer data","Recupera dades de clients"
"Retrieve address data","Recupera dades de clients"
"Retrieve your confirmation link here","Recupera el teu enllaç de confirmació aquí"
"Retrieve customer's groups","Recupera grups de clients"
"Retrieve address info","Recupereu la informació de les adreces"
"Retrieve customers info","Recupereu la informació dels clients"
"Retrieve your password here","Recupereu la vostra contrasenya aquí"
"Records for ""","Registres per a """
"Email Sender","Remitent de correu electrònic"
"Forgot Email Sender","Remitent per a recordatori de correu electrònic"
"Refunded","Retornat"
"Customer collection expected","S'esperava col·lecció de client"
"Array of Entity collections is expected","S'esperava una cadena de col·leccions d'entitat"
"Entity collection is expected","S'esperava una col·lecció d'Entitat"
"A new password was sent","S'ha enviat una nova contrasenya"
"There was an error while deleting the address","S'ha produït un error a l'eliminar l'adreça"
"Customers Section","Secció clients"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Always optional","Sempre opcional"
"Show middle name (initial)","Show middle name (initial)"
"If you have an account with us, please log in.","Si teniu un compte amb nosaltres, accediu-hi amb les vostres dades."
"Please enter your email below and we'll send you a new password.","Si us plau, afegiu la vostra adreça de correu electrònic a sota i li enviarem una nova contrasenya."
"Please enter your email below and we'll send you a new password.","Si us plau, afegiu la vostra adreça de correu electrònic a sota i li enviarem una nova contrasenya."
"Please enter your email.","Si us plau, afegiu la vostra adreça de correu electrònic."
"Please make sure your passwords match.","Si us plau, assegureu-vos que les vostres contrasenyes coincideixen."
"Please select","Si us plau, seleccioneu"
"Please select region, state or province","Si us plau, seleccioneu una regió, estat o província"
"Bad request.","Sol·licitud incorrecta."
"Newsletter Subscription","Subscripció butlletí de notícies"
"General Subscription","Subscripció general"
"Subscribe","Subscriure's"
"Subscribe to newsletter","Subscriure's al butlletí de notícies"
"Suffix","Sufix"
"Suffix dropdown options","Sufix d'opcions desplegable"
"The suffix that goes after name (Jr., Sr., etc.)","Sufix després del nom (Jr., Sr., etc.)"
"Telephone","Telèfon"
"Average Sale","Terme mitjà de vendes"
"Text","Text"
"Text One Line","Text d'una línia"
"Type","Tipus"
"Wrong transactional account email type.","Tipus de correu electrònic per compte transaccional incorrecte."
"Back to Login","Torna a l'inici de sessió"
"Back","Torna enrere"
"All","Tot"
"Total","Total"
"Order Total","Total de la comanda"
"All Store Views","Totes les vistes de botiga"
"All countries","Tots els països"
"Remove","Treure"
"Subscribed to Newsletter?","Us heu subscrit al butlletí de notícies?"
"Go to Address Book","Ves a la llibreta d'adreces"
"View","Veure"
"View Order","Veure comanda"
"View Order List","Veure la llista de comandes"
"Visible In","Visible en"
"Visitor","Visitant"
"Store View","Vista de botiga"
"Customer View","Vista de client"
"Are you sure you want to cancel adding of this address?","Voleu cancel·lar afegir aquesta adreça?"
"Are you sure that you want to remove this item?","Voleu eliminar aquest article?"
"Are you sure you want to delete this address?","Voleu eliminar aquesta adreça?"
"YYYY","YYYY"
