"Action","Acció"
"Your subscription was successfully confirmed","La vostra subscripció ha estat confirmada amb èxit"
"Website","Lloc web"
"Message","Missatge"
"Not activated","No activat"
"Not Sent","No enviat"
"Cannot save your subscription: %s","No es pot desar la vostra subscripció: %s"
"Cannot delete subscriber","No es pot eliminar al subscriptor"
"Cannot delete template","No es pot eliminar la plantilla"
"Cannot mark as received subscriber","No es pot marcar com rebut"
"No subscribers selected","No s'han seleccionat subscriptors"
"No Templates Found","No s'han trobat plantilles"
"No problems found","No s'han trobat problemes"
"Unsubscribed","No subscrit"
"Template Name","Nom de la plantilla"
"Customer Firstname","Nom del client"
"Sender Name","Nom del remitent"
"New Template","Nova plantilla"
"New Newsletter Template","Nova plantilla per al butlletí de notícies"
"Subscription Options","Opcions de subscripció"
"Sending Options","Opcions enviament"
"Pause","Pausa"
"Paused","Pausat"
"Unsubscription Email Template","Plantilla de correu electrònic de cancelació de subscripció"
"Success Email Template","Plantilla de correu per a operació d'èxit"
"Confirmation Email Template","Plantilla del correu electrònic de confirmació"
"Newsletter Templates","Plantilles del butlletí de notícies"
"Processed","Processant"
"Recipients","Receptors"
"Reset","Reinicia"
"Sender","Remitent"
"Unsubscription Email Sender","Remitent de correu electrònic de cancelació de subscripció"
"Success Email Sender","Remitent de correu per a operació amb èxit"
"Confirmation Email Sender","Remitent del correu electrònic de confirmació"
"Return Html Version","Retorna Versió de. HTML"
"Newsletter Section","Secció butlletí notícies"
"Do you really want to cancel the queue?","Segur que voleu cancel·lar la cua de tasques?"
"Set Return-Path","Set Return-Path"
"Please enter a valid email address","Si us plau afegiu la vostra adreça de correu electrònic"
"Please enter new template name","Si us plau introduiu un nou nom de plantilla"
"Please select subscriber(s)","Si us plau seleccioneu subscriptor(s)"
"Newsletter subscription success","Subscripció amb èxit al butlletí de notícies"
"Newsletter Subscription","Subscripció butlletí de notícies"
"Newsletter Sign-up","Subscripció butlletí de notícies"
"Newsletter Subscriptions","Subscripcions al butlletí de notícies"
"Subscriber","Subscriptor"
"Subscribers","Subscriptors"
"Subscribers From","Subscriptors des de"
"Subscribed","Subscrit"
"Newsletter Subscribers","Subscrits al butlletí de notícies"
"Sign me up","Subscriu-me"
"Subscribe","Subscriure"
"Sign up for our newsletter:","Subscriure al butlletí de notícies"
"Queue Finish","Tasques finalitzades"
"Error Text","Text del error"
"Type","Tipus"
"Template Type","Tipus de plantilla"
"Back","Torna enrere"
"View Newsletter","Veure el butlletí de notícies"
"Store View","Vista de la botiga"
"Preview","Vista prèvia"
"Preview Template","Vista prèvia de la plantilla"
"Newsletter Message Preview","Vista prèvia del butlletí de notícies"
"Are you sure that you want to strip all tags?","Voleu desseleccionar totes les etiquetes?"
"Are you sure that you want to delete this template?","Voleu eliminar aquesta plantilla?"
