"# of Use","# d'ús"
"%1$s incl tax.","%1$s taxes incloses"
"%s - %s","%s - %s"
"%s Item(s)","%s Article(s)"
"Parent Category","Categoria pare"
"Categories","Categories"
"categories","categories"
"Categories Sitemap","Categories del mapa del lloc"
"Product Categories","Categories del producte"
"Search","Cerca"
"Browse By","Cerca per"
"SKU","Codi"
"Attribute Code","Codi de l'atribut"
"Missing SKU, skipping the record","Codi perdut, s'omet el registre"
"Last Name","Cognom"
"Set root category for this store in the <a href=""%s"">configuration</a>","Col·loca la categoria arrel per a aquesta botiga a la <a href=""%s"">configuració</a>"
"Product Info Column","Columna info. del producte"
"Backorders","Comandes d'articles esgotats pendents"
"Conditions Combination","Combinació de condicions"
"Starting at:","Começant el:"
"Product Reviews","Comentaris del producte "
"Customers Reviews","Comentaris dels clients"
"Products Reviews","Comentaris dels productes"
"Pending Reviews RSS","Comentaris pendents per RSS"
"Compare Items","Compara articles"
"Compare Products List","Compara la llista de productes"
"Compare Products","Compara productes"
"Compare Products - %d Items","Compara productes - %d articles"
"Comparable","Comparable"
"Comparable on Front-end","Comparable en la part pública"
"Compare Products (%d)","Comparar productes (%d)"
"Buy %1$s for %2$s","Compra %1$s per %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compra %1$s per %2$s (%3$s impostos incl.) cadascun"
"Buy %1$s for %2$s each","Compra %1$s per %2$s cadascun"
"Shop by","Compra per"
"Check items to add to the cart or","Comprovi els articles a afegir a la cistella o"
"Set Root Category For Store","Configura la categoria arrel per a la botiga"
"Set Ascending Direction","Configura sentit ascendent"
"Set Descending Direction","Configura sentit descendent"
"Super product attributes configuration","Configuració dels atributs de super productes"
"Configurable Product Settings","Configuració dels productes configurables"
"Settings","Configuracions"
"Attribute Set","Conjunt d'atributs"
"Search Query","Consulta de cerca"
"Continue","Continua"
"Options Control","Control d'opcions"
"Copy From Configurable","Copia des de configurable"
"Email","Correu electrònic"
"Create","Crea"
"Create (Upload)","Crea (Puja)"
"Create Empty","Crea buit"
"Create Product Settings","Crea configuracions de productes"
"Create new product","Crea nou producte"
"Create new category","Crea nova categoria"
"Create Simple Associated Product","Crea producte simple associat"
"Quick Create","Creació ràpida"
"Quick simple product creation","Creació ràpida de producte simple"
"Category Data","Dades de la categoria"
"Top/Right","Dalt/Dreta"
"Top/Left","Dalt/Esquerra"
"Datetime","Data"
"Date","Data"
"Date Subscribed","Data de subscripció"
"Date & Time Custom Options","Data i hora opcions personalitzades"
"Decimal","Decimal"
"Declare attribute value saving scope","Declara l'abast del valor de l'atribut a desar"
"leave blank if its not an image","Deixar en blanc sinó hi ha cap imatge"
"Depends on design theme","Depèn del diseny/tema"
"Save","Desa"
"save","desa"
"Save Attribute Set","Desa el conjunt d'atributs"
"Save And Continue Edit","Desa i continua editant"
"Save Attribute","Desa l'atribut"
"Save Category","Desa la categoria"
"Save Search","Desa la cerca"
"Disabled","Desactivat"
"Saved ","Desat"
"Description","Descripció"
"Short Description","Descripció curta"
"Product Description","Descripció del producte"
"Quick Overview","Descripció ràpida"
"unselect all","deselecciona tot"
"Dropdown","Desplegable"
"must be in the allowed values list","deu estar en la llista de valors permesos"
"Availability","Disponibilitat"
"Stock Availability","Disponibilitat d'existència"
"Availability: In stock.","Disponibilitat: En existència"
"Availability: Out of stock.","Disponibilitat: No es troba en existència."
"Design","Disseny"
"Custom Design","Disseny personalitzat"
"Double click on above image to view full picture","Doble clic a sobre per obrir/tancar imatge gran"
"Double click on a group to rename it","Doble clic en un grup per a renomenar-lo"
"Duplicate","Duplica"
"Duplicate website tier price customer group and quantity.","Duplica el preu escalonat, el grup de clients i la quantitat del lloc web."
"Duplicate website, country and state tax found.","Duplica website, país i impostos trobats"
"Edit","Edita"
"Edit Attribute Set '%s'","Edita el conjunt d'atributs '%s'"
"Edit Product Attribute","Edita l'atribut del producte"
"Edit Product Attribute ""%s""","Edita l'atribut del producte ""%s"""
"Edit Search","Edita la cerca"
"Edit Search '%s'","Edita la cerca '%s'"
"Globally Editable","Editable de forma global"
"Review was successfully saved","El comentari s'ha desat amb èxit"
"Review was saved successfully","El comentari s'ha desat amb èxit"
"Review successfully deleted","El comentari s'ha eliminat amb èxit"
"Invalid attribute set specified, skipping the record","El conjunt d'atributs especificat no és vàlid, s'omet el registre"
"Image content is not valid base64 data.","El contingut de la imatge no són dades base64 vàlides."
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","El filtre del catàleg està limitat a %2$d. Actualment hi ha %1$d. Redueixi el nombre de filtres en aquest mòdul."
"Filter must be as object. Set correct filter please","El filtre ha de ser un objecte. Seleccioneu el filtre correcte"
"File options format is not valid","El format del fitxer no és vàlid"
"Attribute group with the ""/name/"" name already exists","El grup d'atribut ""/name/"" ja existeix"
"Web Site Store Must be checked","El lloc web de la botiga ha de ser verificat"
"Web Site Item Must be checked","El lloc web ha de ser comprovat"
"Attribute model not defined","El model de l'atribut no està definit"
"Filter model name must be declared","El nom del model de filtre ha d'estar declarat"
"Our customer service is available 24/7. Call us at (555) 555-0123.","El nostre servei d'atenció al client està disponible 24/7. Truqui'ns als (555) 555-0123."
"Product %s successfully added to compare list","El producte %s ha estat afegit amb èxit a la llista per comparar"
"Product %s successfully removed from compare list","El producte %s ha estat eliminat amb èxit de la llista de comparanció"
"Visible on Product View Page on Front-end","El producte és visible en la part pública"
"Product was successfully created.","El producte ha estat creat amb èxit."
"Product was successfully saved.","El producte ha estat desat amb èxit."
"Product has required options","El producte té opcions obligatòries"
"Search Term with such search query already exist.","El terme de cerca amb aquesta consulta de cerca ja existeix."
"Search Term was successfully saved","El terme de cerca ha estat desat amb èxit"
"Length of text is too long","El text és massa llarg"
"Image type and information need to be specified for each store view.","El tipus d'imatge i la informació han de ser específics per a cada vista de botiga."
"Invalid image file type","El tipus de fitxer de la imatge no és vàlid"
"Invalid product type specified, skipping the record","El tipus de producte especificat és invàlid, ometent el registre"
"Delete","Elimina"
"Remove product assignment","Elimina assignació del producte"
"Delete Attribute","Elimina atribut"
"Delete category","Elimina categoria"
"Delete Category","Elimina categoria"
"Delete Search","Elimina cerca"
"Delete Attribute Set","Elimina conjunt d'atributs"
"Delete Selected Group","Elimina el grup seleccionat"
"Remove product link","Elimina enllaç de producte"
"Delete Row","Elimina fila"
"Remove product image","Elimina imatge del producte"
"Delete Option","Elimina opció"
"Delete product","Elimina producte"
"Remove Product From Websites","Elimina producte dels llocs web"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Els articles que no voleu mostrar en el catàleg o en els resultats de les cerques han d'estar en estat 'Desactivat' a la botiga corresponent."
"Filters must be as array","Els filtres han de ser cadenes"
"Invalid category IDs","Els ID de les categories no són vàlids"
"Price values for options should be specified in system base currency.","Els valors de preu per a les opcions han d'especificar-se en la moneda base del sistema."
"In stock","En existència"
"In Stock","En existència"
"In stock.","En existències"
"Link (Related, Up sell, Cross sell)","Enllaç (relacionat, venda suggerida, venda creuada)"
"Link product not exists.","Enllaç de producte no existeix."
"Nowhere","Enlloc"
"Integer","Enter"
"Send Count","Envia recompte"
"Email to a Friend","Enviï un correu sobre el producte"
"Error while adding customers for %s alert. Message: %s","Error a l'afegeix clients %s a l'alerta. Missatge: %s"
"Category delete error","Error a l'eliminar la categoria"
"Error while saving this group. Please try again later.","Error al desar aquest grup. Intenteu-ho més tard."
"Error while saving this group. Group with the same name already exists.","Error al desar aquest grup. Ja existeix un grup amb el mateix nom."
"Product saving error.","Error al desar el producte"
"Product saving error. ","Error al guardar el producte"
"Failed to move file: %s","Error al moure el fitxer: %s"
"Category move error","Error al moure la categoria"
"Error during retrieval of option value: %s","Error durant la recuperació del valor de l'opció: %s"
"cache refresh needed","es necessari refrescar la memòria cau"
"Searchable","Es pot cercar"
"A name is required","Es requereix un nom"
"Please enter a new group name","Escriviu un nou nom de grup"
"Please specify the product option(s)","Especifiqueu l(es) opcio(ns) del producte"
"Please specify the product(s) quantity","Especifiqueu la quantitat de producte(s)"
"Please specify the product required option(s)","Especifiqueu les opcion(s) obligatòries del producte"
"Status","Estat"
"Static","Estàtic"
"Are you sure you would like to remove all products from your comparison?","Esteu segur d'eliminar tots els productes de la seva comparació?"
"Are you sure?","Esteu segur?"
"Stretch","Estirament"
"Label","Etiqueta"
"Attribute Label","Etiqueta de l'atribut"
"Product Tags","Etiquetes del producte"
"ex. http://domain.com","ex. http://domini.com"
"Exclude","Excloure"
"Expand All","Expendeix tot"
"Use Default Value","Fes servir el valor per defecte"
"Use in advanced search","Fes servir en la cerca avançada"
"Use in quick search","Fes servir en la cerca ràpida"
"Use In Layered Navigation","Fes servir en la navegació per capes"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Fes servir en la navegació per capes <br />(pot ser utilitzat només amb el tipus d'entrada del catàleg 'Desplegable')"
"Use Config Settings","Fes servir les configuracions de Config"
"Use To Create Configurable Product","Fes servir per a crear un Producte configurable"
"Use categories path for product URLs","Fes servir rutes de categories per a la URL dels productes"
"Filterable (with results)","Filtrable (amb resultats)"
"Filterable (no results)","Filtrable (sense resultats)"
"Set special price","Fixa preu especial"
"Set/Get current store view","Fixa/Obté la vista de botiga actual"
"Out of Stock","Fora d'existència"
"Out of stock","Fora d'existència"
"Out of stock.","Fora d'existència."
"Time format","Format de l'hora"
"Gallery","Galeria"
"Manage Attributes","Gestiona els atributs"
"Manage Product Attributes","Gestiona els atributs del producte"
"Manage Attribute Sets","Gestiona els conjunts d'atributs"
"Manage Product Sets","Gestiona els conjunts del producte"
"Manage Titles (Size, Color, etc.)","Gestiona els títols (grandària, color, etc.)"
"Manage Stock","Gestiona estoc"
"Url Rewrite Management","Gestiona la reescriptura de URL"
"Manage Categories","Gestiona les categories"
"Manage Catalog Categories","Gestiona les categories del catàleg"
"Manage Label / Options","Gestiona les etiquetes / opciones"
"Manage Options (values of your attribute)","Gestiona les opcions (valors dels vostres atributs)"
"Manage Products","Gestionar els productes"
"Global","Global"
"Watermark Default Size","Grandària per defecte de la marca d'aigua"
"Customer Group","Grup de clients"
"Groups","Grups"
"Failed","Ha fallat"
"Problem saving the collection, aborting. Error: %s","Hi ha hagut un problema al desar la col·lecció, cancel·lant. Error: %s"
"There was an error while cleared compare list","Hi hagut un error mentre es buidava la llista de comparació"
"There was an error while updating product(s) status","Hi hagut un error mentre s'actualitzava l'estat del(s) producte(s)"
"There was an error while updating product(s) attributes","Hi hagut un error mentre s'actualitzaven els atributs de producte(s)"
"There was an error while adding products to websites","Hi hagut un error mentre s'afegien productes als llocs web"
"There was an error while removing products from websites","Hi hagut un error mentre s'eliminaven productes dels llocs web"
"and","i"
"and above","i dalt"
"ID","ID"
"ID: %s","ID: %s"
"Image","Imatge"
"Image not specified.","Imatge no especificada."
"Media Image","Imatges de medis"
"Product Images","Imatges del producte"
"Amount","Import"
"Tax","Impostos"
"Print This Page","Imprimeix aquesta pàgina"
"Incl. Tax","Incl. Impostos"
"Bottom/Right","Inferior/Dreta"
"Bottom/Left","Inferior/Esquerra"
"Additional Information","Informació addicional"
"Search Information","Informació de cercar"
"Attribute Information","Informació de l'atribut"
"Product Information","Informació del producte"
"Products Information","Informació dels productes"
"General Information","Informació general"
"Home","Inici"
"Inventory","Inventari"
"Attribute with the same code already exists","Ja existeix un atribut amb el mateix codi"
"Customers for alert %s was successfuly added to queue","L'alerta per als clients %s ha estat afegida a la cua de tasques amb èxit"
"Invalid attribute %s","L'atribut %s no és correcte"
"Product attribute was successfully saved","L'atribut del producte s'ha desat amb èxit"
"Product attribute was successfully deleted","L'atribut del producte s'ha eliminat amb èxit"
"Invalid option id specified for %s (%s), skipping the record","L'ID d'opció especificat per a %s (%s) és invàlid, s'omet el registre"
"Please specify date required option(s)","L'opció de data és obligatoria"
"Invalid attribute option specified for attribute %s (%s), skipping the record","L'opció de l'atribut especificada no és vàlida per a l'atribut %s (%s), s'omet el registre"
"Invalid store specified","La botiga especificada no és vàlida"
"Invalid store specified, skipping the record","La botiga especificada no és vàlida, s'omet el registre"
"Category must be instance of Mage_Catalog_Model_Category","La categoria depèn de la instància Mage_Catalog_Model_Category"
"Search was successfully deleted","La cerca s'ha eliminat amb èxit"
"Selected configuration is not available.","La configuració seleccionada no està disponible."
"Image not exists","La imatge no existeix"
"Qty Uses Decimals","La quantitat fa servir decimals"
"Line %d, SKU: %s","Línia %d, codi: %s"
"Line %d, Email: %s","Línia %d, correu electrònic %s"
"Options is required","Les opcions són obligatòies"
"Letters(a-zA-Z) or Numbers(0-9)","Lletres(a-zA-Z) o nombres(0-9)"
"List","Llista"
"Used in product listing","Llista de productes utilitzats"
"Used for sorting in product listing","Llista de productes utilitzats per a la classificació"
"Product listing sort by","Llistat de productes per tipus"
"Website","Lloc web"
"Websites","Llocs web"
"Site Map","Mapa del lloc"
"Sitemap","Mapa del lloc"
"Products Sitemap","Mapa del lloc per a productes"
"Watermark","Marca d'aigua"
"Product Image Placeholders","Marcs de les imatges dels productes"
"Product Image Watermarks","Marques d'aigua de les imatges dels productes"
"Max Characters","Màx. caràcters"
"Maximal Depth","Màxima profunditat"
"More Views","Més vistes"
"Best Value","Millor valor"
"List Mode","Mode de la llista"
"Attribute Model","Model de l'atribut"
"Backend Model","Model de part administrativa"
"Frontend Model","Model del part pública"
"Show","Mostra"
"Show Details","Mostra detalls"
"Display in Suggested Terms","Mostra en els termes suggerits"
"Show Tags","Mostra etiquetes"
"Move","Mou"
"Move category in tree","Mou categoria dins de l&acute;arbre"
"Category Navigation:","Navegació de la categoria"
"Category Top Navigation","Navegació per categories superiors"
"Minimum Lines Per Page","Número mínim de linies per pàgina"
"No","No"
"Unable to complete request. Please try again later.","No és possible completar la vostra sol·licitud. Intenteu-ho més tard."
"Not shared with other products","No compartit amb altres productes"
"You cannot edit this attribute","No es pot editar aquest atribut"
"You cannot delete this attribute","No es pot eliminar aquest atribut"
"Unable to get product id.","No es pot obtenir l'ID del producte."
"Unable to find an attribute to delete","No es troba un atribut per a eliminar"
"Unable to find a search term to delete","No es troba un terme de cerca per a eliminar"
"There are no %s available.","No hi ha %s disponibles."
"There are no customers for this alert","No hi ha clients per aquesta alerta"
"No image","No hi ha imatge"
"No options of this product are available.","No hi ha opcions disponibles per aquest producte."
"There are no products matching the selection.","No hi ha productes que concordin amb la selecció."
"You cannot remove system attribute from this set.","No podeu eliminar atributs de sistema d&acute;aquest conjunt."
"You cannot update this attribute","No pot actualitzar aquest atribut"
"Can't create image.","No pot crear la imatge"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","No s'especifica una opció per a la vista de la botiga per defecte (Administrador) farà servir la vista global."
"Base directory to upload image file is not specified","No s'ha especificat el directori base per a pujar el fitxer de la imatge"
"Option validation failed to add product to cart","No s'ha pogut afegir a la cistella de productes"
"Cannot create writeable directory '%s'","No s'ha pogut crear el directori %s"
"File upload failed","No s'han pogut cargar els fitxers"
"No product collections found","No s'han trobat col·leccions del producte"
"You have no items to compare.","No teniu articles per a comparar."
"Name","Nom"
"First Name","Nom"
"Attribute Name:","Nom de l'atribut:"
"Tag Name","Nom de l'etiqueta"
"Set Name","Nom del conjunt"
"Product Name","Nom del producte"
"Name In %s","Nom en %s"
"Name<br/>(For internal use)","Nom<br/>(Per ús intern)"
"Static block only","Només bloc estàtic"
"Can be used only with catalog input type Dropdown","Només pot fer-se servir amb un tipus de dada de menú desplegable en el catàleg"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Només pot fer-se servir amb un tipus de dada de menú desplegable en el catàleg, selecció múltiple i preu"
"Products only","Només productes"
"Number of Uses","Nombre d'usos"
"Number of results<br/>(For last time placed)","Nombre de resultats<br/>(Des de l'última vegada)"
"Decimal Number","Nombre decimal"
"Integer Number","Nombre enter"
"Maximum number of characters","Nombre màxim de caràcters"
"Attrib. Set Name","Nomdel conjunt d'atributs"
"Attrribute names can be specified per store.","Noms d'atributs poden ser especificats per botiga."
"Notify Low Stock RSS","Notifica existència baixa per RSS"
"Notify for Quantity Below","Notifica per quantitat menor que"
"New Product Attribute","Nou atribut del producte"
"New Set Name","Nou nom del conjunt"
"New Product","Nou producte"
"New Products","Nous productes"
"New Category","Nova categoria"
"New Search","Nova cerca"
"OR","O"
"Get special price","Obté preu especial"
"Skip import row, store ""%s"" field not exists","Omet la fila d'importació, el camp de la botiga ""%s"" no existeix"
"Skip import row, required field ""%s"" not defined","Omet la fila d'importació, el camp requerit ""%s"" no està definit"
"Skip import row, required field ""%s"" for new customer not defined","Omet la fila d'importació, el camp requerit ""%s"" per al nou client no està definit"
"Skip import row, required field ""%s"" for new products not defined","Omet la fila d'importació, el camp requerit ""%s"" per als nous productes no està definit"
"Skip import row, is not valid value ""%s"" for field ""%s""","Omet la fila d'importació, no és un valor vàlid ""%s"" per al camp ""%s"""
"Option:","Opció:"
"Custom Options","Opcions a mida"
"Shopping Options","Opcions de compra"
"Reviews","Opinions"
"Search Engine Optimizations","Optimitzacions per al motor de cerca"
"Sort by","Ordena per"
"Date fields order","Ordenar per data"
"Sort Order","Ordre de classificació"
"Source Model","Origen del model"
"Country/State","País"
"Frontend","Part pública"
"Roll Over for preview","Passeu el ratolí per sobre per la vista prèvia"
"Page:","Pàgina:"
"Pending","Pendent"
"For internal use. Must be unique with no spaces","Per a ús intern. Ha de ser únic i sense espais"
"per page","per pàgina"
"For reindex enabled product(s) you need specify store or product","Per reindexar producte(s) activat(s) cal indicar la botiga o producte"
"Percentage","Percentatge"
"Allowed file extensions to upload","Permetre extensions de fitxers per a descargar"
"Allowed File Extensions","Permetre extensions en els fitxers"
"Allow HTML-tags on Front-end","Permetre HTML-tags en la part pública"
"PM","PM"
"Position","Posició"
"Position of attribute in layered navigation block","Posició de l'atribut en el bloc de navegació per capes"
"Watermark Position","Posició de la marca d'aigua"
"Position In Layered Navigation","Posició en la navegació per capes"
"Please click on Close Window button if it won't be closed automatically","Pressioneu el botó 'Tanca finestra' si no es tanca automàticament"
"Price","Preu"
"Old Price:","Preu anterior:"
"Tier Pricing","Preu escalonat"
"Special Price:","Preu especial:"
"Default price","Preu per defecte"
"Regular Price:","Preu regular:"
"Price:","Preu:"
"Invalid Tier Prices","Preus escalonats no vàlids"
"Prev","Prev"
"Previous","Previ"
"Url rewrie save problem.","Problema al desar la reescriptura de la URL"
"Product","Producte"
"Grouped Product","Producte agrupat"
"Product with this combination of attributes already associated to configurable.","Producte amb aquesta combinació d'atributs ja associat a configurable."
"Configurable Product","Producte configurable"
"Product duplicated","Producte duplicat"
"Product deleted","Producte eliminat"
"Customers Tagged Product","Producte etiquetat pels clients"
"Simple Product","Producte simple"
"Virtual Product","Producte virtual"
"Products","Productes"
"products","productes"
"Product In Websites","Productes als llocs web"
"Assigned Products","Productes assignats"
"Associated Products","Productes associats"
"Category Products","Productes de la categoria"
"Feature Products","Productes destacats"
"Products per page on Grid allowed values","Productes per pàgin aen format graella"
"Products per Page on List allowed values","Productes per pàgina en format llista"
"Related Products","Productes relacionats"
"Properties","Propietats"
"Attribute Properties","Propietats de l'atribut"
"Frontend Properties","Propietats del Frontend"
"System Properties","Propietats del sistema"
"Upload new product image ","Puja nova imatge de producte "
"px.","px."
"Grid","Quadrícula"
"Qty","Quantitat"
"Qty for Item's Status to become Out of Stock","Quantitat d'elements abans d'estar fora d'existències"
"Maximum Qty Allowed in Shopping Cart","Quantitat màxima permesa a la cistella de compres"
"Minimum Qty Allowed in Shopping Cart","Quantitat mínima permesa a la cistella de compres"
"Minimum Qty for Item's Status to be Out of Stock","Quantitat mínima perquè l'estat de l'article sigui Sense existències"
"Default Qty","Quantitat per defecte"
"Year Range","Rang d'any"
"Retrieve hierarchical tree","Recupera arbre jeràrquic"
"Retrieve category attributes","Recupera atributs de categoria"
"Retrieve product link type attributes","Recupera atributs tipus enllaç a producte"
"Retrieve product attribute sets","Recupera conjunts d'atributs de producte"
"Retrieve category data","Recupera dades de categoria"
"Retrieve products data","Recupera els productes"
"Retrieve product image","Recupera imatge de producte"
"Retrieve categories tree","Recupera l'arbre de categories"
"Retrieve attribute list","Recupera llista d'atributs"
"Retrieve list of assigned products","Recupera llista de productes assignats"
"Retrieve products list by filters","Recupera llista de productes per filtres"
"Retrieve product image list","Recupera llista imatges del producte"
"Retrieve attribute options","Recupera opcions d'atributs"
"Retrieve product tier prices","Recupera preus escalonats del producte"
"Retrieve product","Recupera producte"
"Retrieve linked products","Recupera productes enllaçats"
"Retrieve product link types","Recupera tipus d'enllaç de producte"
"Retrieve product image types","Recupera tipus d'imatges del producte"
"Retrieve product types","Recupera tipus de producte"
"Retrieve one level of categories by website/store view/parent category","Recupera un nivell de categories per categoria vista/pare lloc web/botiga"
"Retrieve attribute data","Recuperar dades dels atributs"
"Redirect","Redirecciona"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Refresqueu ""Reescriptura del catàleg"" i ""Índexs de navegació per capes"" en Sistema -> <a href=""%s"">Gestió de la memòria cau</a>"
"Records for ""","Registres per """
"Reset","Reinicia"
"Fixed","Reparat"
"Required","Requerid"
"Results","Resultats"
"Product collection expected","S'esperava una col·lecció de producte"
"Compare list successfully cleared","S'ha buidat amb èxit la llista de comparació"
"Learn More","Saber més"
"Yes","Sí"
"Yes/No","Sí/No"
"Catalog Section","Secció Catàleg"
"Next","Següent"
"Multiple Select","Selecció múltiple"
"Select type options required values rows.","Selecciona les opcions necessaries en les files"
"Select type of option","Selecciona tipus d'opció"
"select all","selecciona tot"
"Select Configurable Attributes ","Seleccioneu atributs configurables "
"Choose option...","Seleccioneu opció..."
"Please select product(s)","Seleccioneu producte(s)"
"Please select products for attributes update","Seleccioneu productes per a l'actualització dels atributs"
"Please select static block ...","Seleccioneu un bloc estàtic ..."
"Please select one or more attributes.","Seleccioneu un o més atributs"
"Choose an Option...","Seleccioneu una opció..."
"No layout updates","Sense actualitzacions de presentació"
"Page Title Separator","Separador del títol de la pàgina"
"comma separated","separat per comes"
"Please select  items","Si us plau seleccioni articles"
"Please add rows to option.","Si us plau, afegeixi files a l'opció."
"Please specify time required option(s)","Si us plau, especifiqui el temps necessari"
"Please set up merge date/time .","Si us plau, estableixi combinació de data/hora."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Si us plau, guardi les dades abans de clicar la fila sinó perdrà totes les dades."
"Please, use four-digit year format","Si us plau, utilitzi el format de quatre dígits per especificar l'any"
"Synonym For","Sinònim per a "
"Synonym for","Sinònim per a "
"System","Sistema"
"Subscribe to Feed","Subscriure al canal"
"Subscribe to RSS Feed","Subscriure al canal RSS"
"Category URL Suffix","Sufix URL de categoria"
"Product URL Suffix","Sufix URL de producte"
"Maximum Image Size","Tamany màxim de la imatge"
"You may also be interested in the following product(s)","També poden interessar-li els següents productes"
"We Also Recommend","També recomanem"
"Close Window","Tanca la finestra"
"Collapse All","Tancar tot"
"As low as:","Tant baix com:"
"Backend Table","Taula de la part administrativa"
"Tile","Títol"
"Title","Títol"
"Backend Table Title","Títol de la taula de la part administrativa"
"Text","Text"
"Varchar","Text curt variabale"
"Type","Tipus"
"Catalog Input Type for Store Owner","Tipus d'entrada del catàleg per al propietari de la botiga"
"Invalid image type.","Tipus d'imatge invàlid."
"Data Type for Saving in Database","Tipus de dades per a desar a la base de dades"
"Product Type","Tipus de producte"
"Selected Product Types","Tipus de productes seleccionats"
"Input Type","Tipus entrada"
"Price Type","Tipus preu"
"Back","Torna enrere"
"All","Tot"
