"%s order(s) succesfully canceled","%s commandes ont bien été annulées"
"%s order(s) successfully put on hold","%s commandes ont bien été bloquées"
"%s order(s) succesfully released from holding status","%s commandes ont bien été débloquées"
"Credit Memo Email Template for Guest","Gabarit de courriel d'avoir pour un invité"
"Shipment Email Template for Guest","Gabarit de courriel d'expédition pour un invité"
"Credit Memo Comment Email Template","Gabarit de courriel de commentaire d'avoir"
"Credit Memo Comment Email Template for Guest","Gabarit de courriel de commentaire d'avoir pour un invité"
"Shipment Comment Email Template for Guest","Gabarit de courriel de commentaire d'expédition pour un invité"
"Order Comment Email Template","Gabarit de courriel de commentaire de commande"
"Order Comment Email Template for Guest","Gabarit de courriel de commentaire de commande pour un invité"
"Invoice Comment Email Template for Guest","Gabarit de courriel de commentaire de facture pour un invité"
"Invoice Email Template for Guest","Gabarit de courriel de facture pour un invité"
"Shipment Email Template","Gabarit de courriel de livraison"
"Shipment Comment Email Template","Gabarit du courriel de commentaire de livraison"
"Customer Group","Groupe de clients"
"Order History","Historique"
"Comments History","Historique de commentaires"
"ID","ID"
"Same As Billing Address","Identique à l'adresse de facturation"
"There are no printable documents related to selected orders","Il n'y a aucun documents imprimables en relation avec les commandes sélectionnées"
"Can not add order history.","Impossible d'ajouter l'historique de commande."
"Can not add new comment.","Impossible d'ajouter un commentaire."
"Can not add tracking number.","Impossible d'ajouter un numéro de suivi."
"Can not delete tracking number.","Impossible d'effacer le numéro de suivi."
"Can not register existing creditmemo","Impossible d'enregistrer un avoir existant."
"Can not register existing invoice","Impossible d'enregistrer une facture existante."
"Can not register existing shipment","Impossible d'enregistrer une livraison existante."
"Can not send shipment information.","Impossible d'envoyer l'information de livraison"
"Can not initialize shipment for adding tracking number.","Impossible d'initialiser l'expédition pour ajouter le numéro de suivi."
"Can not initialize shipment for delete tracking number.","Impossible d'initialiser l'expédition pour effacer le numéro de suivi."
"Can not load track with retrieving identifier.","Impossible de charger le suivi avec l'identifiant récupéré."
"Can not do shipment for order.","Impossible de créer la livraison pour la commande."
"Can not create block ""%s""","Impossible de créer le bloc ""%s"""
"Can not do credit memo for order","Impossible de créer un avoir pour la commande."
"Can not do invoice for order","Impossible de créer une facture pour la commande."
"Can not update item qty","Impossible de mettre à jour la quantité de l'article."
"Can't get order instance","Impossible de récupérer l'instance de commande"
"Can not retrieve tracking number detail.","Impossible de récupérer le détail du suivi."
"Can not save credit memo","Impossible de sauvegarder l'avoir"
"Can not save invoice","Impossible de sauvegarder la facture."
"Can not save shipment.","Impossible de sauvegarder la livraison."
"Print","Imprimer"
"Print Order","Imprimer la commande"
"Print Order # %s","Imprimer la commande n°%s"
"Print Invoice","Imprimer la facture"
"Print Shipment","Imprimer la livraison"
"Print Refund","Imprimer le remboursement"
"Print Credit Memos","Imprimer les avoirs"
"Print Packingslips","Imprimer les bordereaux de livraison"
"Print Invoices","Imprimer les factures"
"Print All Refunds","Imprimer tous les remboursements"
"Print All Invoices","Imprimer toutes les factures"
"Print All Shipments","Imprimer toutes les livraisons"
"Information","Information"
"Order Information","Informations commande"
"Shipping Information","Informations de livraison"
"Shipping &amp; Handling Information","Informations de livraison et de traitement"
"Payment Information","Informations de paiement"
"Account Information","Informations du compte"
"Newsletter Subscription","Inscription à la newsletter"
"Signed Up From","Inscrit sur"
"Void","Invalider"
"Guest","Invité"
"Hold action is not available","L'action bloquer n'est pas disponible"
"The item %s (SKU %s) doesn't exist in the catalog anymore","L'article %s (SKU %s) n'existe plus dans le catalogue"
"Credit Memo was successfully canceled.","L'avoir a bien été annulé."
"Credit Memo was successfully created","L'avoir a bien été créé"
"Credit Memo was successfully voided","L'avoir a bien été invalidé"
"Shipment was successfully created.","L'expédition a bien été créée"
"Order was placed using %s","La commande a été passée dans la devise : %s"
"Order was successfully cancelled.","La commande a bien été annulée."
"Order was successfully put on hold.","La commande a bien été bloquée."
"Order was successfully released from holding status.","La commande a bien été débloquée."
"Order was not cancelled.","La commande n'a pas été annulée."
"Order was not put on hold.","La commande n'a pas été bloquée."
"Order was not unholded.","La commande n'a pas été débloquée."
"Order not longer exist","La commande n'existe plus"
"Order not longer exist.","La commande n'existe plus."
"Invoice was successfully canceled.","La facture a bien été annulée."
"Invoice was successfully created.","La facture a bien été créée."
"Invoice was successfully captured","La facture a bien été invalidée."
"Invoice was successfully voided","La facture a bien été invalidée."
"Invoice and shipment was successfully created.","La facture et l'expédition ont bien été créées."
"Shipment was successfully sent.","La livraison a bien été envoyée."
"""%s"" coupon code is not valid.","Le bon de réduction ""%s"" n'est pas valide."
"Comment text field can not be empty.","Le champ du commentaire ne peut pas être vide."
" The customer doesn't exist in the system anymore","Le client n'existe plus dans le système"
"Tracking number can not be empty.","Le numéro de suivi ne peut pas être vide"
"Credit Memo total must be positive.","Le total de l'avoir doit être positif"
"Orders was canceled","Les commandes ont été annulées."
"Orders was successfully put on hold","Les commandes ont été bloquées"
"Orders was unholded","Les commandes ont été débloquées"
"Catalog prices include tax","Les prix catalogue incluent les taxes"
"Link to the previous order","Lier à la commande précédente"
"Link to the new order","Lier à la nouvelle commande"
"Wishlist","Liste d'envies"
"Shipping","Livraison"
"Shipment","Livraison"
"Shipping &amp; Handling","Livraison et traitement"
"Shipping & Handling","Livraison et traitement"
"Shipping & Handling:","Livraison et traitement :"
"Shipment #%s","Livraison n°%s"
"Shipped","Livré"
"Ship to","Livré à"
"Shipped By","Livré par"
"SHIP TO:","LIVRÉ À :"
"Logo (200x50)","Logo (200x50)"
"My Orders","Mes commandes"
"My Orders - Details","Mes commandes - Détails"
"Message","Message"
"Message:","Message :"
"Gift Message for this Order","Message cadeau pour cette commande"
"Gift Message for Entire Order","Message cadeau pour toute la commande"
"Gift Message","Message du cadeau"
"Update Changes","Mettre à jour les modifications"
"Update Qty's","Mettre à jour les quantités"
"Order Update","Mise à jour de commande"
"Order Update (Credit Memo)","Mise à jour de commande (avoir)"
"Order Update (Invoice)","Mise à jour de commande (facture)"
"Order Update (Shipment)","Mise à jour de commande (livraison)"
"Order Update for Guest","Mise à jour de commande pour un invité"
"Invoice Update","Mise à jour de facture"
"Invoice Update for Guest","Mise à jour de facture pour un invité"
"Credit Memo Update","Mise à jour de l'avoir"
"Credit Memo Update for Guest","Mise à jour de l'avoir pour un invité"
"Shipment Update","Mise à jour de l'expédition"
"Shipment Update for Guest","Mise à jour de l'expédition pour un invité"
"Shipping Method","Mode de livraison"
"Shipping Method:","Mode de livraison :"
"Payment Method","Mode de paiement"
"Edit Order #%s","Modifier la commande #%s"
"Change Status","Modifier le statut"
"Amount","Montant"
"Shipping Amount","Montant de la livraison"
"Refund Amount","Montant du remboursement"
"Order Grand Total","Montant global"
"Grand Total","Montant global"
"Grand Total:","Montant global :"
"Paid Amount","Montant réglé"
"Tax Amount","Montant Taxe"
"G.T. (Base)","Montant total<br/>(Devise de base)"
"G.T. (Purchased)","Montant total<br/>(Devise de la commande)"
"Credit Memo #","N° d'avoir"
"Credit Memo # ","N° d'avoir"
"Packingslip # ","N° de bordereau de livraison :"
"Order #","N° de commande"
"Order # ","N° de commande :"
"Invoice # ","N° de facture"
"Invoice #","N° de facture"
"Bill to Name","Nom (Fact.)"
"Ship to Name","Nom (Livr.)"
"Last Name","Nom de famille"
"Bill to Last name","Nom de famille (Fact.)"
"Ship to First Name","Nom de famille (Livr.)"
"Ship to First name","Nom de famille (Livr.)"
"Product Name","Nom de produit"
"Customer Name","Nom du client"
"Notified","Notifié"
"New","Nouveau"
"New Status","Nouveau statut"
"New Credit Memo","Nouvel avoir"
"New Credit Memo for Guest","Nouvel avoir pour un invité"
"New Order","Nouvelle commande"
"New Order for Guest","Nouvelle commande pour un invité"
"New Shipment for Guest","Nouvelle expédition pour un invité"
"New Invoice","Nouvelle facture"
"New Invoice for Guest","Nouvelle facture pour un invité"
"New Shipment","Nouvelle livraison"
"Number","Numéro"
"Tracking Number","Numéro de suivi"
"Tracking Number(s)","Numéro(s) de suivi"
"Checkout totals sort order","Ordre de tri des totaux de commande"
"Shopping Cart","Panier"
"Partial","Partiel"
"Not Capture","Pas de capture"
"Paid","Payée"
"Country","Pays"
"To Name","Pour (nom)"
"First Name","Prénom"
"Bill to First name","Prénom (Fact.)"
"Ship to Last name","Prénom (Livr.)"
"Price","Prix"
"Original Price","Prix d'origine"
"Processing data problem","Problème de traitement de données"
"Product","Produit"
"Products","Produits"
"Products in Compare List","Produits dans la liste de comparaison"
"Recently Compared Products","Produits récemment comparés"
"Recently Viewed Products","Produits récemment consultés"
"Qty","Qté"
"Qty Canceled","Qté annulée"
"Qty To Add","Qté à ajouter"
"Qty to Invoice","Qté à facturer"
"Qty Ordered","Qté commandée"
"Qty Invoiced","Qté facturée"
"Qty Shipped","Qté livrée"
"Total Qty","Qté totale"
"QTY","QTÉ"
"Invalid qty to invoice item ""%s""","Quantité à facturer invalide pour l'article ""%s"""
"Invalid qty to ship for item ""%s""","Quantité à livrer invalide pour l'article ""%s"""
"Invalid qty to refund item ""%s""","Quantité à rembourser invalide pour l'article ""%s"""
"Refresh","Rafraîchir"
"Get shipping methods and rates","Récupérer les modes de livraison et les taux"
"Refunded","Remboursé"
"Adjustment Refund","Remboursement d'ajustement"
"Shipping Refund","Remboursement de la livraison"
"Adjustment Refund:","Remboursement des frais de dossier :"
"Refund Offline","Remboursement hors ligne"
"Refund #","Remboursement n°"
"Refund #%s","Remboursement n°%s"
"Total Refund","Remboursement total"
"Refunds","Remboursements"
"Refund","Rembourser"
"Discount Amount","Remise"
"Discount ","Remise"
"Discount","Remise"
"Discount (%s)","Remise (%s)"
"Discount :","Remise :"
"Reorder","Renouveler la commande"
"Back to My Orders","Retour à mes commandes"
"Returned","Retourné"
"Subscribe to Order Status","S'abonner au statut de commande"
"Subscribe to Newsletter","S'abonner à la newsletter"
"Submit Credit Memo","Sauvegarder l'avoir"
"Submit Invoice","Sauvegarder la facture"
"Select from existing customer addresses:","Sélectionner d'une adresse client existante"
"separate by "",""","séparé par des "","""
"Website","Site web"
"Sku","SKU"
"SKU","SKU"
"Subtotal","Sous-total"
"Order Subtotal:","Sous-total :"
"Order Subtotal","Sous-total de la commande"
"Status","Statut"
"Order Status","Statut"
"Item Status","Statut de l'article"
"Unknown Status","Statut inconnu"
"Track this shipment","Suivre cette livraison"
"Track Order","Suivre la commande"
"Track all shipment(s)","Suivre toutes les livraisons"
"Track all shipments","Suivre toutes les livraisons"
"Track your order","Suivre votre commande"
"Remove","Supprimer"
"Delete","Supprimer"
"Remove Coupon Code","Supprimer le code de bon de réduction"
"Tax","Taxe"
"Tax :","Taxe :"
"Tax Based On","Taxe basée sur"
"Telephone","Téléphone"
"Complete","Terminée"
"Comment Text","Texte du commentaire"
"Title","Titre"
"Total(ex)","Total (HT)"
"Total(inc)","Total (TTC)"
"Grand Total to be charged","Total à facturer"
"Total Due","Total dû"
"Order Total","Total de la commande"
"Row Total","Total ligne"
"Total Paid","Total payé"
"Total Refunded","Total remboursé"
"Order Totals","Totaux commandes"
"Print All","Tout imprimer"
"View All","Tout voir"
"Carrier","Transporteur"
"Custom Value","Valeur personnalisée"
"Submit Comment","Valider"
"Submit Shipment","Valider l'expédition"
"SOLD TO:","VENDU À :"
"Sales","Ventes"
"Please select products to add","Veuillez sélectionner les produits à ajouter"
"Please select a customer","Veuillez sélectionner un client"
"Please select a store","Veuillez sélectionner un magasin"
"View","Voir"
"View Order","Voir la commande"
"You need specify carrier.","Vous devez spécifier un transporteur."
"You have placed no orders.","Vous n'avez jamais commandé."
"Recently Viewed","Vu récemment"
"Order View","Vue de commande"
