"%s was successfully added to your shopping cart.","%s a été ajouté à votre panier."
"Based on your selection, you may be interested in the following items:","D'après votre sélection, vous pourriez être intéressé(e) par les articles suivants:"
"Already registered?","Déjà enregistré ?"
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation de cette commande n'est disponible pour le moment."
"Invalid data","Données non valides"
"Quote Lifetime (days)","Durée de vie du panier (en jours)"
"Register and save time!","Enregistrez-vous et gagnez du temps !"
"Register to Create an Account","Enregistrez-vous pour créer un compte"
"Register with us for future convenience:","Enregistrez-vous pour profiter des avantages:"
"Company","Entreprise"
"Enter your destination to get a shipping estimate.","Entrez votre destination pour obtenir une estimation de livraison"
"Send to","Envoyer à"
"Load customer quote error","Erreur lors du chargement du panier client"
"Estimate Shipping and Tax","Estimer la livraison et la taxe"
"Default Billing","Facturation par défaut"
"Fax","Fax"
"Close","Fermer"
"There is already a customer registered using this email address","Il existe déjà un client enregistré avec cette adresse courriel"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Il y a <a href=""%s""><strong>%s articles</strong></a> dans votre panier."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Il y a <a href=""%s""><strong>1 article</strong></a> dans votre panier."
"There was an error processing your order. Please contact us or try again later.","Il y a eu une erreur lors du traitement de votre commande. Veuillez nous contacter ou réessayer plus tard."
"Configurable product image","Image de produit configurable"
"Grouped product image","Image de produit groupé"
"Can not add item to shopping cart","Impossible d'ajouter l'article au panier"
"Can not apply coupon code.","Impossible d'appliquer le code de réduction."
"Cannot update shopping cart","Impossible de mettre à jour le panier"
"Cannot move item to wishlist","Impossible de mettre l'article dans votre liste-cadeaux"
"Cannot remove item","Impossible de retirer l'article"
"Billing Information","Informations de facturation"
"Billing Information - %s","Informations de facturation - %s"
"Shipping Information","Informations de livraison"
"Payment Information","Informations de paiement"
"Maximum qty allowed for Shipping to multiple addresses is %s","La quantité maximum autorisée pour la livraison à plusieurs adresses est %s"
"Coupon code ""%s"" is not valid.","Le code de réduction ""%s"" n'est pas valide."
"Coupon code was canceled successfully.","Le code de réduction a été annulé."
"Coupon code was applied successfully.","Le code de réduction a été appliqué."
"Shipping method has not been selected yet","Le mode de livraison n'a pas encore été choisi"
"Payment method is not defined","Le mode de paiement n'est pas défini"
"Shopping Cart is Empty","Le panier est vide"
"Product does not exist","Le produit n'existe pas"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"My Cart Link","Lien vers mon panier"
"Shipping to","Livraison à:"
"Default Shipping","Livraison par défaut"
"Ship to this address","Livrer à cette adresse"
"Ship to Multiple Addresses","Livrer à plusieurs adresses"
"Ship to different address","Livrer à une autre adresse"
"Invalid shipping method.","Méthode de livraison non valide"
"Thank you for your purchase!","Merci de votre achat !"
"Update Shopping Cart","Mettre à jour le panier"
"Update Total","Mettre à jour le total"
"Update Qty &amp; Addresses","Mettre à jour les quantités et adresses"
"Shipping Method","Mode de livraison"
"Payment Method","Mode de paiement"
"Checkout method","Mode de réglement"
"Shipping Methods","Modes de livraison"
"Edit","Modifier"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Shipping Address","Modifier l'adresse de livraison"
"Change Shipping Method","Modifier le mode de livraison"
"Change Payment Method","Modifier le mode de paiement"
"Edit Items","Modifier les articles"
"Edit Your Cart","Modifiez votre panier"
"My Account","Mon compte"
"My Cart","Mon panier"
"My Cart (%s item)","Mon panier (%s article)"
"My Cart (%s items)","Mon panier (%s articles)"
"Grand Total:","Montant global:"
"Password","Mot de passe"
"Forgot your password?","Mot de passe oublié ?"
"Last Name","Nom de famille"
"Product Name","Nom du produit"
"New Address","Nouvelle adresse"
"Get a Quote","Obtenir une estimation"
"Checkout Options","Options de règlement"
"Shopping Cart","Panier"
"Fast and easy check out","Passage de commande rapide et facile"
"Proceed to Checkout","Passer la commande"
"Country","Pays"
"Continue","Poursuivre"
"Continue to Review Your Order","Poursuivre pour vérifier votre commande"
"Continue to Billing Information","Poursuivre vers les informations de facturation"
"Continue to Shipping Information","Poursuivre vers les informations de livraison"
"Continue Shopping","Poursuivre vos achats"
"First Name","Prénom"
"Price","Prix"
"Unit Price","Prix unitaire"
"Data saving problem","Problème lors de la sauvegarde des données"
"Product","Produit"
"Qty","Qté"
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Checkout with Multiple Addresses","Régler avec plusieurs adresses"
"Checkout as Guest","Régler en tant qu'invité"
"Checkout as a Guest or Register","Régler en tant qu'invité ou enregistrez-vous"
"Checkout","Régler mes achats"
"After adding a product redirect to shopping cart","Rediriger vers le panier après l'ajout d'un produit"
"Remove Product","Retirer"
"Remove","Retirer"
"Remove Item","Retirer l'article"
"Back","Retour"
"Back to Shipping Information","Retour aux informations de livraison"
"Store Pickup","Retrait en magasin"
"Street Address","Rue"
"Register","S'enregistrer"
"Enter a New Address","Saisir une nouvelle adresse"
"Enter your coupon code if you have one.","Saisissez votre code de réduction"
"Save in address book","Sauvegarder dans le carnet d'adresse"
"Select Shipping Method","Sélectionner le mode de livraison"
"Select Address","Sélectionner une adresse"
"Select State/Province...","Sélectionnez l'état/province"
"Login","Se connecter"
"Select Addresses","Sléectionnez les adresses"
"Subtotal","Sous-total"
"Cart Subtotal:","Sous-total du panier :"
"Telephone","Téléphone"
"Total for this address","Total pour cette adresse"
"Use Billing Address","Utiliser l'adresse de facturation"
"Apply Coupon","Utiliser un bon de réduction"
"Place Order","Validation"
"Order Review","Vérification de commande"
"Review Order","Vérifier la commande"
"Review Order - %s","Vérifier la commande - %s"
"Please <a href=""%s"">continue shopping</a>.","Veuillez <a href=""%s"">poursuivre vos achats</a>."
"Please enter a coupon code.","Veuillez entrer un code de réduction."
"Please enter a coupon code.","Veuillez entrer un code de réduction."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple 75010."
"Please select shipping methods for all addresses","Veuillez sélectionner les modes de livraison pour toutes les adresses"
"Please select region, state or province","Veuillez sélectionner une province ou un état"
"Please specify the product option(s)","Veuillez spécifier la (les) option(s) de produit"
"Please specify the product(s) quantity","Veuillez spécifier la quantité des produits"
"Please log in below:","Veuillez vous identifier:"
"City","Ville"
"Your order has been received","Votre commande a été reçue"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Votre commande est en cours de traitement et vous recevrez bientôt un courriel avec les détails de la commande. Quand la commande sera envoyée, vous recevrez un autre courriel avec un lien pour suivre l'avancement de la livraison."
"Your order # is: %s","Votre n° de commande est: %s"
"Your order number is %s","Votre n° de commande est: %s"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous allez recevoir un courriel de confirmation avec les détails de votre commande ainsi qu'un lien pour suivre son avancement."
"Forgot an Item?","Vous avez oublié un article ?"
"You have no items in your cart.","Vous n'avez aucun article dans votre panier."
"You have no items in your shopping cart.","Vous n'avez pas d'article dans votre panier"
