"%s already exists","%s existe déjà"
"%s already exist","%s existent déjà"
"* Required Fields","* Champs requis"
"Edit Store","Modifier le magasin"
"Edit Website","Modifier le site web"
"Name","Nom (usage interne)"
"Invalid block name to set child %s: %s","Nom de bloc non valide pour rattacher l'enfant %s: %s"
"File Name","Nom de fichier"
"Sender name","Nom de l'expéditeur"
"Empty main table name","Nom de table principale vide"
"Store View Name","Nom de vue magasin"
"Exception Log File Name","Nom du fichier de log pour les exceptions"
"Current package name","Nom du paquet actuel"
"Website Name","Nom du site web"
"Store Name","Nom magasin"
"Wrong number of arguments for %s","Nombre d'arguments erroné pour %s"
"New Design Change","Nouveau changement de design"
"New Store","Nouveau magasin"
"New Website","Nouveau site web"
"New Store View","Nouvelle vue magasin"
"Search Engines Optimization","Optimisation pour les moteurs de recherche"
"Countries options","Options des pays"
"Locale options","Options régionales"
"Url Options","Options URL"
"Sort order","Ordre de tri"
"Default Pages","Pages par défaut"
"Package","Paquet"
"General Settings","Paramètres généraux"
"Locale","Paramètres régionaux"
"SMTP settings (Windows server only)","Paramètres SMTP (serveur Windows seulement)"
"Default country","Pays par défaut"
"Port (25)","Port (25)"
"Unknown scope ""%s""","Portée ""%s"" inconnue"
"Profiler","Profileur"
"Can't retrieve entity config: %s","Récupération impossible de la config d'entité: %s"
"Base directory","Répertoire de base"
"Skin directory","Répertoire de l'habillage"
"Media files directory","Répertoire des fichiers de media"
"Session files directory","Répertoire des fichiers de session"
"Code pools root directory","Répertoire racine de réservoirs de code"
"Var (temporary files) directory","Répertoire var (fichiers temporaires)"
"Search","Recherche"
"Sales representative","Représentant des ventes"
"Developer Client Restrictions","Restrictions client développeur"
"Back","Retour"
"Save","Sauvegarder"
"Save Store View","Sauvegarder la vue magasin"
"Save Store","Sauvegarder le magasin"
"Save Website","Sauvegarder le site web"
"Unsecure","Sécurisé"
"Secure","Sécurisé"
"Host","Serveur hôte"
"Services","Services"
"Website","Site web"
"Website with the same code","Site web avec le même code"
"located in {{base_dir}}/var/log","situé dans {{base_dir}}/var/log"
"Status","Statut"
"Invalid messages storage ""%s"" for layout messages initialization","Stockage des messages ""%s"" invalide pour l'initialisation des messages de gabarit"
"Customer support","Support client"
"Delete","Supprimer"
"Remove This Item","Supprimer cet article"
"Delete Store","Supprimer le magasin"
"Delete Website","Supprimer le site web"
"Clear All Items","Supprimer tous les articles"
"System","Système"
"Filesystem","Système de fichiers"
"Telephone","Téléphone"
"Themes","Thèmes"
"All","Tous"
"Translations","Traductions"
"Invalid base url type","Type d'URL de base invalide"
"Invalid block type: %s","Type de bloc non valide: %s"
"Block with name ""%s"" already exists","Un bloc portant le nom ""%s"" existe déjà"
"Base URL","URL de base"
"Base JavaScript URL","URL du Javascript de base "
"Base Link URL","URL du lien de base"
"Base Media URL","URL du Media de base"
"Base Skin URL","URL du thème de base"
"Default no-route url","URL non trouvée par défaut"
"Default web url","URL web par défaut"
"Use Secure URLs in Admin","Utiliser des URLs sécurisées dans l'administration"
"Use Secure URLs in Frontend","Utiliser des URLs sécurisées sur la partie publique"
"Use Web Server Rewrites","Utiliser les réécriture du serveur web"
"Please use letters only (a-z) in this field.","Veuillez ne saisir que des lettres (a-z) dans ce champ."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) ou des espaces ou des dièses (#) dans ce champ."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez ne saisir que des lettres (a-z), des chiffres (0-9) ou tirets bas (_) dans ce champ. Le premier caractère doit être une lettre."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Veuillez ne saisir que des nombres dans ce champ. Merci d'éviter les espaces ou autres caractères tels que points ou virgules."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Please enter 6 or more characters.","Veuillez saisir 6 caractères ou plus"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Veuillez saisir 6 caractères ou plus. Les espaces en début ou fin de chaîne seront ignorés."
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple H1H 1H1 ou 12345."
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par ex. 100.00$"
"Please enter valid password.","Veuillez saisir un mot de passe valide."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0"
"Please enter a valid number in this field.","Veuillez saisir un nombre valide"
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte de crédit valide."
"Please enter a valid social security number. For example 123-45-6789.","Veuillez saisir un numéro de sécurité sociale valide. Par exemple 123-456-789."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide. Par ex. (123) 456-7890 or 123-456-7890"
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez saisir une adresse courriel valide. Par ex. jeandupond@domaine.com"
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid URL. http:// is required","Veuillez saisir une URL valide. Elle doit commencer par http://"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Veuillez saisir une URL valide. Par exemple http://www.exemple.com or www.exemple.com"
"Please select State/Province.","Veuillez sélectionner un état/province"
"Please select one of the above options.","Veuillez sélectionner une des options ci-dessus."
"Please select one of the options.","Veuillez sélectionner une des options."
"Please select an option.","Veuillez sélectionner une option."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser le format de date suivant: jj/mm/aaaa. Par exemple, 17/03/2008 pour le 17 mars 2008."
"Please make sure your passwords match.","Veuillez vérifier que vos mots de passe concordent."
"Empty identifier field name","Vider le nom du champ d'identifiant"
"Your order # is: %s","Votre # de commande est: %s"
"Your order has been received","Votre commande a été reçue"
"Your session has been expired, you will be relogged in now.","Votre session a expiré, vous allez maintenant être reconnecté."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous recevrez une confirmation de commande par courriel avec les détails de votre commande et un lien pour suivre son évolution."
"Default Store View","Vue magasin par défaut"
"Web","Web"
