"Points","Puntos"
"Point Currencies","Divisas del punto"
"Distribution Rules","Reglas de distribuci&oacute;nm"
"Point Rules","Reglas del punto"
"Catalog","Cat&aacute;logo"
"Shopping Cart","Carrito de Compras"
"Customer Behavior","Conducta del cliente"
"Redemption Rules","Reglas de canjeo"
"Apply Catalog Rules","Aplicar reglas del cat&aacute;logo"
"Customers' Points","Los puntos del cliente"
"Manage Transfers","Gestionar las transferencias"
"Redemptions","Canjeos"
"Distributions","Distribuciones"
"All Other Transfers","Todas las otras transferencias"
"Create New Transfer","Crear transferencia Nueva"
"Points transfer initiated by the store administrator.","Transferencia de Puntos iniciada por el administrador de la tienda."
"zero points","Cero Puntos"
"Should the system allow customers to aquire a negative point balance in any point currency?","¿Deber&iacute;a el sistema permitir a los clientes a adquirir un saldo negativo de puntos en cualquier divisa de punto?"
"Can customers use redemptions without being logged in?","¿Los clientes pueden usar los canjeos sin iniciar sesi&oacute;n?"
"Display Settings","Mostrar configuraci&oacute;n"
"Show Zero Cart Redemptions","Mostrar reembolsos del carrito"
"Show cart redemptions total row when no redemptions are present.","Mostrar la fila de total de canjeos en el carrito de compra cuando no haya canjeos presentes."
"Guest Redemptions","Canjes de Invitado"
"Show cart distributions total row when no distributions are present.","Mostrar la fila de total de distribuci&oacute;nes en el carrito de compra cuando no haya distribuciones presentes."
"Show Points Sidebar","Mostrar la barra lateral de los puntos"
"Show Sidebar When Not Logged In","Mostrar la barra lateral de los puntos cuando no se haya iniciado sessi&oacute;n"
"Zero Points Caption","Leyenda cero puntos"
"# Products In Rewards Catalog","# Productos en el cat&aacute;logo de premios"
"The number of products to show in the mini rewards catalog in the customer points management panel.","El n&uacute;mero de productos que mostrar en el cat&aacute;logo de mini recompensas en el panel de administraci&oacute;n de los puntos del cliente."
"Initial Transfer Statuses","Estados de transferencia inicial"
"After Order","Despu&eacute;s del pedido"
"After Review","Despu&eacute;s de la opini&oacute;n"
"After Rating","Despu&eacute;s de la calificaci&oacute;n"
"After Poll","Despu&eacute;s de la encuesta"
"After Send Friend","Despu&eacute;s del env&iacute;o a un amigo"
"After Tag","Despu&eacute;s de la etiqueta"
"After Newsletter","Despu&eacute;s del Newsletter"
"After Sign up","Despu&eacute;s de iniciar sessi&oacute;n"
"Transfer To Friend","Transferir a un amigo"
"Order Fulfillment","Cumplimiento del pedido"
"Automatically Remove Points On Cancel","Eliminar autom&aacute;ticamente los puntos al Cancelar"
"When an order is cancelled, should the point transfers associated with these orders be revoked/cancelled as well?","¿Cuando un pedido se cancela, deber&iacute;a tambien cancelarse/revocarse la transferencia de puntos asociada con estos pedidos ?"
"Automatically Approve Points on Invoice","Aprobar autom&aacute;ticamente los puntos en la factura"
"Automatically approve all related point transfers when the customer pays for the order.","Aprobar autom&aacute;ticamente todas las transferencias relacionadas de puntos, cuando el cliente paga por el pedido."
"Automatically Approve Points On Shipment","Aprobar autom&aacute;ticamente los puntos en el env&iacute;o"
"Automatically approve all related point transfers when the order has been shipped.","Aprobar autom&aacute;ticamente todas las transferencias relacionadas de puntos, cuando el pedido ha sido enviado."
"Customer Rewards","Premios del cliente"
"Earning Points","Obtenci&oacute;n de puntos"
"Catalog Earning Rules","Reglas de la obtenci&oacute;n de puntos del cat&aacute;logo"
"Shopping Cart Earning Rules","Reglas de la obtenci&oacute;n de puntos del carrito de compras"
"Customer Behavior Earning Rules","Reglas de la obtenci&oacute;n de puntos de la conducta del cliente"
"Redeeming Points","Canjear puntos"
"Catalog Redeeming Rules","Reglas del canjeo de puntos del cat&aacute;logo"
"Shopping Cart Redeeming Rules","Reglas del canjeo de puntos del carrito de compras"
"Points received for signing up to a newsletter.","Puntos recibidos por suscribirse al Newsletter."
"You cannot send points to yourself!!","¡No puedes enviarte puntos a ti mismo!"
"Transfer #%s is already %s.","La transferencia #%s ya est&aacute; %s."
"Transfer #%s cannot be changed from %s to %s.","La transferencia #%s no puede cambiarse de %s a %s."
"Try revoking the transfer(s) instead.","Intenta de revocar la(s) transferencia(s)."
"Create And Continue Edit","Crea y continua editando"
"%s are pending approval.","%s est&aacute;n pendientes de aprobaci&oacute;n."
"You could receive %s for writing a review and/or rating this product.","Podr&iacute;as recibir %s por escribir una opini&oacute;n y/o calificar este art&iacute;culo."
"You do not have enough points to spend on this order.  ","No tienes bastantes puntos para gastar en este pedido.  "
"You will not be able to earn or spend points when checking out with multiple addresses.","No podr&aacute;s ganar o gastar puntos al momento de pagar si usas varias direcciones."
"Customer Spending Style","El estilo de gasto del cliente."
"The customer was credited %s for the order.","El cliente fue acreditado %s por el pedido."
"You earned %s on the order you just placed.","Ganaste %s por el pedido que acabas de hacer."
"The customer was deducted %s for the order.","Al cliente se le dedujo %s por el pedido."
"You spent %s on the order you just placed.","Gastaste %s por el pedido que acabas de hacer."
"The customer","El Cliente"
"Your point transactions are currently pending and will be approved when we finish processing your order.","Tus transacciones de puntos se encuentran pendientes y ser&aacute;n aprobados en cuanto terminemos de procesar tu pedido."
"Can\'t get customer instance","No\se puede obtener instancia de cliente"
"Customer Point Transfers","Las transferencias de puntos del cliente"
"There are %s in this account.","Hay %s en esta cuenta."
"%s, %s off","%s, %s menos"
"New Transfer","Nueva transferencia"
"See product details","Ver los detalles del art&iacute;culo"
"Spends X points for every Y dollar amount in profit","Gasta X puntos por cada Y cantidad de Euros en ganancias"
"For every Y amount of profit spent, deduct X points","Por cada Y cantidad de ganancias gastado, deducir X points"
"New Distribution Rule","Nueva regla de distribuci&oacute;n"
"Applicable Distribution Rules","Reglas aplicables de distribuci&oacute;n"
"There are %s that can be earned from this product.","Hay %s que se pueden obtener de este art&iacute;culo."
"Applicable Redemption Rules","Reglas aplicables de canjeo"
"New Redemption Rule","Nueva Regla de canjeo"
"For every Y dollar amount in PRICE, give X points","Por cada Y cantidad de Euros en el PRECIO, dar X puntos"
"For every Y dollar amount in PROFIT, give X points","Por cada Y cantidad de Euros de BENEFICIO, dar X puntos"
"Transfers","TTransferencias"
"Earnings","Ganancias"
"Spendings","Gastos"
"Default message for mass transfers","Mensaje predeterminado para transferencias masivas"
"Transfer revoked","Transferencia revocada"
"Points received from a friend","Puntos recibidos de un amigo"
"Points sent to a friend","Puntos enviados un amigo"
"Points earned for signing up to the site","Puntos obtenidos por registrarse"
"Points earned for signing up to the newsletter","Puntos obtenidos por registrarse al Newsletter"
"Points earned for tagging a product","Puntos obtenidos por etiquetar un art&iacute;culo"
"Points earned for telling a friend about a product","Puntos obtenidos por contar a un amigo acerca de un art&iacute;culo"
"Points earned for participating in a poll","Puntos obtenidos por participar en una encuesta"
"Points earned for writing a review or rating a product","Puntos obtenidos por escribir una opini&oacute;n o calificaci&oacute;n de un art&iacute;culo"
"Points spent on order","Puntos gastados en el pedido"
"Points earned from order","Puntos ganados del pedido"
"Transfer Comments","Comentarios de la transferencia"
"Redemption rule points cost cannot be 0 points.","El coste de la regla del canje de puntos no puede ser de 0 puntos."
"The product no longer exists in the cart, so points cannot be redeemed on it.","El art&iacute;culo ya no existe en el carrito de compras, por lo que los puntos no pueden ser canjeados."
"An error occurred while trying to process your attempt to redeem points on a product.  Please contact the store ({$this->getSupportEmail()}).","Se produjo un error al intentar procesar tu intento de canjear puntos en un art&iacute;culo. Por favor, contacta con la tienda ({$this->getSupportEmail()})."
"Sorry, unable to spend your points this way for this shopping cart.","Lo sentimos, no puedes gastar tus puntos de este modo para este carrito de compras."
"It seems like your cart may have expired, so points weren","Parece que su carrito de compras haya caducado, por lo que los puntos no fueron"
"Please specify an amount greater than zero.","Por favor, especifica una cantidad mayor que cero."
"You can","Puedes"
"You are now spending %s on this cart.","Ahora est&aacute;s gastando %s en este carrito de compras."
"Refers a friend","Apadrina un amigo"
"Spend Points","Gasta puntos"
"Activate Layout Actions","Activar las acciones de dise&ntilde;o"
"All rules and settings were deleted.","Todas las normas y ajustes fueron eliminado."
"Config settings were reverted.","Los Ajustes de configuraci&oacute;n fueron revertidos."
"Are you sure you would like to delete all Sweet Tooth rules?  Unless you haveve made a back-up, this is irreversable...","¿Est&aacute;s seguro quieres eliminar todas las reglas de Sweet Tooth? A menos que hayas hecho una copia de seguridad, esto es irreversible..."
"Delete All","Borrar todo"
"Export Campaign","Exportar Campa&ntilde;a"
"Export Config","Exportar Configuraci&oacute;n"
"Are you sure you would like to revert all Sweet Tooth config?  Unless you have made a back-up, this is irreversable...","¿Est&aacute;s seguro quieres restaurar todas las reglas de Sweet Tooth? A menos que hayas hecho una copia de seguridad, esto es irreversible..."
"Revert Settings","Restaurar Ajustes"
"Rules were imported successfully.","Las reglas se importaron con &eacute;xito."
"Settings were imported successfully.","Los Ajustes se importaron con &eacute;xito."
"The balance of %s for the customer %s with the e-mail %s has expired.  It was %s since his/her last activity.","El saldo de %s para el cliente %s con el correo electr&oacute;nico %s ha expirado. Era de %s desde su ultima actividad"
"The customer %s with the e-mail %s was sent notification that his/her points will expire in %s days.","Al cliente %s con el correo electr&oacute;nico %s se le envi&oacute; una notificaci&oacute;n de que sus puntos caducar&aacute;n en %s d&iacute;as."
"% Off","% menos"
"The catalog redemption rule entitled %s is invalid and cannot be applied.","La regla de canje de cat&aacute;logo titulada %s es inv&aacute;lida y no puede ser aplicada."
" For every X points spent, discount Y"," Por cada X puntos gastados, descontar Y"
"Tags a product","Etiqueta un art&iacute;culo"
"Give points to the customer","Dar puntos a los clientes"
"The rule %s does not apply to your cart.","La regla %s no es aplicable a tu carrito."
"The rule %s was not applied to your cart.","La Regla %s no se aplic&oacute; a tu carrito."
"Spend your points","Gasta tus puntos"
"You need to [[log-in]] to use your points.","Tienes que [[log-in]] para usar tus puntos."
"Choose how many points to spend","Elige cu&aacute;ntos puntos quieres gastar"
"Maximize my discount with points","Maximizar mi descuento con puntos"
"You need to log-in to spend points.","Debes iniciar sesi&oacute;n para gastar puntos."
"More ways to spend points","M&aacute;s formas de gastar puntos"
"Spend <b>%s</b>, Get <b>%s</b>","Gasta <b>%s</b>, Consigue <b>%s</b>"
"Use your points on any of these products","Utiliza tus puntos en cualquiera de estos art&iacute;culos"
"Friend","Amigo"
"Your points balance will expire in %s days.","Tu saldo de puntos expirar&aacute; en %s d&iacute;as."
"%s Point","%s Punto"
"%s Points","%s Puntos"
"Refreshing cart, please wait..","Actualizando tu carrito de compras, espera por favor.."
"(Earn %s for signing up)","Gana %s al suscribirte."
"You will receive %s upon approval of this review and/or rating.","Recibir&aacute;s %s tras la aprobaci&oacute;n de este opini&oacute;n y/o calificaci&oacute;n."
"Earn %s for each approved tag you make.","Gana %s por cada etiqueta aprobada que hagas."
