"%s already exist","%s eksisterer allerede"
"%s already exists","%s eksisterer allerede"
"Copyright","(C)Copyright"
"Before modifying the website code please make sure that it is not used in index.php","Før kode for nettsted endres, se til at den ikke benyttes i index.php"
"First Day of Week","Første dag i uken"
"Wrong number of arguments for %s","Feil antall argumenter for %s"
"Error in file: ""%s"" - %s","Feil i fil: ""%s"" - %s"
"Error while saving. Please try again later.","Feil under lagring. Prøv igjen senere."
"Error: Passwords do not match","Feil: Passordene mathcer ikke"
"Debug","Feilsøking"
"Footer","Footer (nederst på siden)"
"Date From","Fra-dato"
"Please enter a valid date.","Fyll inn en gyldig dato. Bruk / istedenfor ."
"Please enter a valid email address. For example johndoe@domain.com.","Fyll inn en gyldig e-postadresse. For eksempel ola@domain.com."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Fyll inn en gyldig URL. For eksempel http://www.domain.com eller www.domain.com"
"Please enter a valid URL. http:// is required","Fyll inn en gyldig URL. http:// er obligatorisk"
"Please enter a valid $ amount. For example $100.00.","Fyll inn et gyldig beløp. For eksempel 100."
"Please enter a valid credit card number.","Fyll inn et gyldig kredittkortnummer."
"Please enter valid password.","Fyll inn et gyldig passord."
"Please enter a valid social security number. For example 123-45-6789.","Fyll inn et gyldig personnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Fyll inn et gyldig postnummer."
"Please enter a valid zip code.","Fyll inn et gyldig postnummer."
"Please enter a valid number in this field.","Fyll inn et gyldig tall i dette feltet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Fyll inn et gyldig telefonnummer."
"Please enter a number greater than 0 in this field.","Fyll inn et tall større enn null i dette feltet."
"Please enter 6 or more characters.","Fyll inn minimum seks tegn."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Fyll inn seks eller flere tegn. Blanke felt ignoreres."
"General contact","Generelle henvendelser"
"General Settings","Generelle innstillinger"
"Current package name","Gjeldende pakkenavn"
"Global","Globalt"
"Go","Go"
"Header","Header "
"Weekend Days","Helgedager"
"HTML Head","HTML Heading"
"Please use letters only (a-z) in this field.","I dette feltet kan bare bokstaver (a-z) benyttes."
"Id path for specified store","ID-sti for valgt butikk"
"Resource is not set","Ikke satt"
"Store View Information","Informasjon om butikkvisning"
"Log Settings","Innstillinger for logging"
"Yes","Ja"
"Cannot complete this operation from non-admin area.","Kan ikke fullføre operasjonen utenfor Admin-panelet."
"Can't retrieve entity config: %s","Kan ikke hente konfigurasjon: %s"
"Can't retrieve request object","Kan ikke hente objekt"
"Cannot Delete Email Template","Kan ikke slette epost-mal"
"Code","Kode"
"Configuration","Konfigurasjon"
"Controller file was loaded but class does not exist","Kontrollfilen ble lastet men klassen eksisterer ikke"
"Admin","Kontrollpanel"
"Admin Base URL","Kontrollpanel Base URL"
"Admin User Emails","Kontrollpanel epost-adresser"
"This category only","Kun denne kategorien"
"This category and its products only","Kun denne kategorien og produktene"
"Customer support","Kundestøtte"
"Unable to proceed. Please, try again","Kunne ikke fortsette. Prøv igjen."
"Leave empty for access from any location","La stå tomt for tilgang fra alle lokasjoner"
"Save","Lagre"
"Save Store","Lagre butikk"
"Save Store View","Lagre butikkvisning"
"Save Website","Lagre nettsted"
"General","Land og språk"
"Layouts","Layout"
"Add Store Code to Urls","Legg butikk-kode til i URL"
"Add Block Names to Hints","Legg til Block navn på hint"
"Add Secret Key to URLs","Legg til hemmelig nøkkel på URLer"
"Cookie Lifetime","Levetid for informasjonskapsler"
"Base Link URL","Link URL (Base)"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging fra Mage::log(). Filen finnes her: {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging fra Mage::logException(). Filen finnes her: {{base_dir}}/var/log"
"Logo Image Alt","Logo Bilde Alt-tekst"
"Logo Image Src","Logo Bilde Src"
"Locale","Lokaltilpasning"
"Forgot Password Email Template","Mal for ""Glemt passord""-epost"
"Templates","Maler"
"Template Path Hints","Malsti hint"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration"
"Model collection resource name is not defined","Modellens samlingsressursnavn er ikke definert"
"Model class does not exist: %s","Modellklassen eksisterer ikke: %s"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" cant be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" require module ""%2$s"""
"Name","Navn"
"Store View Name","Navn på butikkvisning (StoreView)"
"No","Nei"
"Website","Nettsted (Website)"
"Website was successfully deleted.","Nettsted (Website) ble slettet."
"Website with the same code","Nettsted (Website) med samme kode"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Nettsted-kode kan kun bestå av bokstaver (a-z), tall (0-9) og understrek (_). Første tegn må være en bokstav"
"Website was successfully saved","Nettstedet (Website) ble lagret"
"Website Information","Nettstedsinformasjon"
"Website Name","Nettstedsnavn"
"New Store","Ny butikk (Store)"
"New Store View","Ny butikkvisning (StoreView)"
"New Design Change","Ny designendring"
"New Website","Nytt nettsted (Website)"
"Create Store","Opprett butikk (Store)"
"Create Store View","Opprett butikkvisning (StoreView)"
"Create Website","Opprett nettsted (Website)"
"Startup page","Oppstartsside"
"Translate Inline","Oversett direkte i nettbutikken"
"Package","Pakke"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL end with '/' (slash), e.g. http://yourdomain/magento/"
"Port (25)","Port 25"
"Profiler","Profil"
"Prototype Deprecation Log","Prototype Deprecation Logg"
"Edit Store","Rediger butikk (Store)"
"Edit Design Change","Rediger designendring"
"Locale options","Regionale innstillinger"
"Please choose to register or to checkout as a guest","Registrer deg eller sjekk ut som gjest"
"Request path for specified store","Request Path for valgt butikk"
"Sales representative","Salgsrepresentant"
"Collections Data","Samling av data"
"Search Engines Optimization","Søkemotoroptimalisering (SEO)"
"Please make sure your passwords match.","Se til at passordene er like."
"Search","Search"
"Search entire store here...","Search entire store here..."
"Host","Server"
"Session Lifetime, Seconds","Session Lifetime, Sekunder"
"Session Validation Settings","Session Validation Innstillinger"
"Layout","Sideoppsett"
"Secure","Sikker"
"Security","Sikkerhet"
"Delete","Slett"
"Delete Store","Slett butikk (Store)"
"Delete Store View","Slett butikkvisning (StoreView)"
"Delete Website","Slett nettsted (Website)"
"SMTP settings (Windows server only)","SMTP-innstillinger (kun for Windows-based servers)"
"Sort order","Sorteringsrekkefølge"
"Default","Standard"
"Default Title","Standard  tittel"
"Default no-route url","Standard ""Side ikke funnet"" URL"
"Default Description","Standard beskrivelse"
"Default Store","Standard butikk (Store)"
"Default Store View","Standard butikkvisning (StoreView)"
"Default Keywords","Standard Keywords"
"Default country","Standard land"
"Default Robots","Standard Robots"
"Default web url","Standard web-URL"
"Default Pages","Standardsider"
"Start date can't be greater than end date","Startdato kan ikke være etter sluttdato"
"Status","Status"
"Cookie Path","Sti for informasjonskapsler"
"Skin (Images / CSS)","Stil (bilder / CSS)"
"System","System"
"System Log File Name","System logg-filnavn"
"Themes","Temaer"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid, please make sure that it follows ""http://domain.com/"" format."
"Timezone","Tidssone"
"Date To","Til-dato"
"Back","Tilbake"
"Allowed IPs (comma separated)","Tillatte IP-er (kommaseparert)"
"Allow countries","Tillatte land"
"Custom Design","Tilpasset design"
"Custom email 1","Tilpasset epost 1"
"Custom email 2","Tilpasset epost 2"
"Title Prefix","Tittel"
"Services","Tjenester"
"Empty main table name","Tomt hovedtabellnavn"
"Empty identifier field name","Tomt identifikasjonsfeltnavn"
"Root Category","Toppnivå"
"Translations","Transaksjoner"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend- and Admin inline translations"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Ugyldig argument for oppdatering av sideoppsett, forventet Mage_Core_Model_Layout_Element"
"Invalid base url type","Ugyldig base-URL type"
"Invalid block: %s","Ugyldig blokk: %s"
"Invalid block name to set child %s: %s","Ugyldig blokknavn for barn %s: %s"
"Invalid block type: %s","Ugyldig blokktype: %s"
"Requested invalid store ""%s""","Ugyldig butikk ""%s"""
"Invalid transactional email code: ","Ugyldig epost-kode: "
"Invalid layout update handle","Ugyldig handle for oppdatering av sideoppsett"
"Invalid websites configuration path: %s","Ugyldig konfigurasjonssti for nettsted: %s"
"Invalid messages storage ""%s"" for layout messages initialization","Ugyldig meldingslager ""%s"" for initialisering av meldinger for sideoppsett"
"Incorrect credit card expiration date","Ugyldig utløpsdato"
"Unknown scope ""%s""","Ukjent omfang ""%s"""
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later.."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later.."
"Base JavaScript URL","URL til Javascript"
"Base Media URL","URL til mediafiler"
"Base Skin URL","URL til stiler (skins)"
"Url Options","URL-alternativer"
"Unsecure","Usikker"
"Design","Utseende"
"Developer","Utvikler"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Valider HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valider REMOTE_ADDR"
"Please select an option.","Velg alternativ"
"Please specify payment method.","Velg betalingsmetode."
"Select Date","Velg dato"
"Specify either category or product, or both.","Velg enten kategori eller produkt, eventuelt begge."
"Please select one of the above options.","Velg et av alternativene over."
"Please select one of the options.","Velg et av alternativene."
"Please specify shipping method.","Velg fraktmetode."
"Please select State/Province.","Velg område"
"Welcome Text","Velkomsttekst"
"Please wait, loading...","Vennligst vent, laster..."
"Values less than 60 are ignored.","Verdier under 60 blir ignorert."
"This will be displayed just before body closing tag","Vises rett før body closing-taggen"
"Web","Web"
"Website doesn't exist","Webside eksisterer ikke"
